onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
296.22265625	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	151667	250
298.2578125	1	decision	trialStart	1	1	1	foodImage.100	FOODEEG_Images\0908.jpg	YN	Right	No	1.00530509999953	0	152709	251
299.3046875	2	decision	foodImageDisplay	1	1	1	foodImage.100	FOODEEG_Images\0908.jpg	YN	Right	No	1.00530509999953	0	153245	252
301.373046875	1.00530509999953	decision	choicePhaseStart	1	1	1	foodImage.100	FOODEEG_Images\0908.jpg	YN	Right	No	1.00530509999953	0	154304	253
302.375	0	decision	response	1	1	1	foodImage.100	FOODEEG_Images\0908.jpg	YN	Right	No	1.00530509999953	0	154817	235
303.486328125	1	decision	trialStart	1	2	2	foodImage.20	FOODEEG_Images\0226.jpg	YN	Left	Yes	1.69190960004926	0	155386	251
304.529296875	2	decision	foodImageDisplay	1	2	2	foodImage.20	FOODEEG_Images\0226.jpg	YN	Left	Yes	1.69190960004926	0	155920	252
306.59375	1.69190960004926	decision	choicePhaseStart	1	2	2	foodImage.20	FOODEEG_Images\0226.jpg	YN	Left	Yes	1.69190960004926	0	156977	253
308.279296875	0	decision	response	1	2	2	foodImage.20	FOODEEG_Images\0226.jpg	YN	Left	Yes	1.69190960004926	0	157840	234
309.330078125	1	decision	trialStart	1	3	3	foodImage.25	FOODEEG_Images\0261.jpg	YN	Left	Yes	1.37078860006295	0	158378	251
310.373046875	2	decision	foodImageDisplay	1	3	3	foodImage.25	FOODEEG_Images\0261.jpg	YN	Left	Yes	1.37078860006295	0	158912	252
312.4375	1.37078860006295	decision	choicePhaseStart	1	3	3	foodImage.25	FOODEEG_Images\0261.jpg	YN	Left	Yes	1.37078860006295	0	159969	253
313.798828125	0	decision	response	1	3	3	foodImage.25	FOODEEG_Images\0261.jpg	YN	Left	Yes	1.37078860006295	0	160666	234
