blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
tasteRev	Go = not tasty    No-go = tasty	0	0	FOODGNG_Images/0909.jpg	not tasty	1	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	1	FOODGNG_Images/0911.jpg	not tasty	19	Go	space	space	1	0.7087027
tasteRev	Go = not tasty    No-go = tasty	0	2	FOODGNG_Images/0921.jpg	not tasty	7	Go	space	space	1	1.001874
tasteRev	Go = not tasty    No-go = tasty	0	3	FOODGNG_Images/0900.jpg	not tasty	1	Go	space	space	1	0.5660522
tasteRev	Go = not tasty    No-go = tasty	0	4	FOODGNG_Images/0226.jpg	not tasty	4	Go	space	space	1	0.7619422
tasteRev	Go = not tasty    No-go = tasty	0	5	FOODGNG_Images/0805.jpg	tasty	91	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	6	FOODGNG_Images/0909.jpg	not tasty	1	Go	space	space	1	0.5717148
tasteRev	Go = not tasty    No-go = tasty	0	7	FOODGNG_Images/0830.jpg	tasty	91	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	8	FOODGNG_Images/0905.jpg	not tasty	3	Go	space	space	1	0.6130009
tasteRev	Go = not tasty    No-go = tasty	0	9	FOODGNG_Images/0901.jpg	not tasty	12	Go	space	space	1	0.6530845
tasteRev	Go = not tasty    No-go = tasty	0	10	FOODGNG_Images/0226.jpg	not tasty	4	Go	space	space	1	0.5680537
tasteRev	Go = not tasty    No-go = tasty	0	11	FOODGNG_Images/0910.jpg	not tasty	10	Go	space	space	1	0.6342401
tasteRev	Go = not tasty    No-go = tasty	0	12	FOODGNG_Images/0906.jpg	not tasty	20	Go	space	space	1	0.5985455
tasteRev	Go = not tasty    No-go = tasty	0	13	FOODGNG_Images/0928.jpg	not tasty	7	Go	space	space	1	0.5339287
tasteRev	Go = not tasty    No-go = tasty	0	14	FOODGNG_Images/0910.jpg	not tasty	10	Go	space	space	1	0.4839199
tasteRev	Go = not tasty    No-go = tasty	0	15	FOODGNG_Images/0028.jpg	tasty	87	NoGo	None	None	1	NaN
