blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
healthRev	Go = not healthy    No-go = healthy	0	0	FOODGNG_Images/0913.jpg	not healthy	2	Go	space	space	1	1.24710289994255
healthRev	Go = not healthy    No-go = healthy	0	1	FOODGNG_Images/0906.jpg	not healthy	4	Go	space	space	1	0.633262299932539
healthRev	Go = not healthy    No-go = healthy	0	2	FOODGNG_Images/0065.jpg	not healthy	8	Go	space	space	1	0.716480599949136
healthRev	Go = not healthy    No-go = healthy	0	3	FOODGNG_Images/0918.jpg	not healthy	3	Go	space	space	1	0.57616439985577
healthRev	Go = not healthy    No-go = healthy	0	4	FOODGNG_Images/0916.jpg	not healthy	5	Go	space	space	1	0.612359299906529
healthRev	Go = not healthy    No-go = healthy	0	5	FOODGNG_Images/0909.jpg	not healthy	3	Go	space	space	1	0.45306939992588
healthRev	Go = not healthy    No-go = healthy	0	6	FOODGNG_Images/0922.jpg	not healthy	5	Go	space	space	1	0.477499099913985
healthRev	Go = not healthy    No-go = healthy	0	7	FOODGNG_Images/0752.jpg	healthy	95	NoGo	None	space	0	0.481442499905825
healthRev	Go = not healthy    No-go = healthy	0	8	FOODGNG_Images/0373.jpg	not healthy	4	Go	space	space	1	0.596978199901059
healthRev	Go = not healthy    No-go = healthy	0	9	FOODGNG_Images/0567.jpg	healthy	94	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	10	FOODGNG_Images/0113.jpg	not healthy	2	Go	space	space	1	0.677921999944374
healthRev	Go = not healthy    No-go = healthy	0	11	FOODGNG_Images/0909.jpg	not healthy	3	Go	space	space	1	0.670710599864833
healthRev	Go = not healthy    No-go = healthy	0	12	FOODGNG_Images/0046.jpg	not healthy	5	Go	space	space	1	0.874602699885145
healthRev	Go = not healthy    No-go = healthy	0	13	FOODGNG_Images/0922.jpg	not healthy	5	Go	space	space	1	0.639835299924016
healthRev	Go = not healthy    No-go = healthy	0	14	FOODGNG_Images/0640.jpg	healthy	93	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	15	FOODGNG_Images/0906.jpg	not healthy	4	Go	space	space	1	0.574439699877985
healthRev	Go = not healthy    No-go = healthy	0	16	FOODGNG_Images/0373.jpg	not healthy	4	Go	space	space	1	0.52023969986476
healthRev	Go = not healthy    No-go = healthy	0	17	FOODGNG_Images/0046.jpg	not healthy	5	Go	space	space	1	0.727080199867487
healthRev	Go = not healthy    No-go = healthy	0	18	FOODGNG_Images/0587.jpg	not healthy	5	Go	space	None	0	NaN
healthRev	Go = not healthy    No-go = healthy	0	19	FOODGNG_Images/0925.jpg	not healthy	3	Go	space	space	1	0.558762499829754
healthRev	Go = not healthy    No-go = healthy	0	20	FOODGNG_Images/0918.jpg	not healthy	3	Go	space	space	1	0.474770299857482
healthRev	Go = not healthy    No-go = healthy	0	21	FOODGNG_Images/0797.jpg	healthy	96	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	22	FOODGNG_Images/0917.jpg	not healthy	8	Go	space	space	1	0.657477699918672
healthRev	Go = not healthy    No-go = healthy	0	23	FOODGNG_Images/0907.jpg	not healthy	7	Go	space	space	1	0.56496679992415
healthRev	Go = not healthy    No-go = healthy	0	24	FOODGNG_Images/0918.jpg	not healthy	3	Go	space	space	1	0.587958399904892
healthRev	Go = not healthy    No-go = healthy	0	25	FOODGNG_Images/0907.jpg	not healthy	7	Go	space	space	1	0.480017299880274
healthRev	Go = not healthy    No-go = healthy	0	26	FOODGNG_Images/0925.jpg	not healthy	3	Go	space	space	1	0.508925199974328
healthRev	Go = not healthy    No-go = healthy	0	27	FOODGNG_Images/0644.jpg	healthy	94	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	28	FOODGNG_Images/0647.jpg	healthy	94	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	29	FOODGNG_Images/0226.jpg	healthy	94	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	30	FOODGNG_Images/0913.jpg	not healthy	2	Go	space	space	1	0.721157499938272
healthRev	Go = not healthy    No-go = healthy	0	31	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.924699099967256
healthRev	Go = not healthy    No-go = healthy	0	32	FOODGNG_Images/0587.jpg	not healthy	5	Go	space	space	1	1.55908779986203
healthRev	Go = not healthy    No-go = healthy	0	33	FOODGNG_Images/0925.jpg	not healthy	3	Go	space	space	1	0.693615199881606
healthRev	Go = not healthy    No-go = healthy	0	34	FOODGNG_Images/0046.jpg	not healthy	5	Go	space	space	1	0.535753999953158
healthRev	Go = not healthy    No-go = healthy	0	35	FOODGNG_Images/0918.jpg	not healthy	3	Go	space	space	1	0.52833789982833
healthRev	Go = not healthy    No-go = healthy	0	36	FOODGNG_Images/0065.jpg	not healthy	8	Go	space	space	1	0.492957899929024
healthRev	Go = not healthy    No-go = healthy	0	37	FOODGNG_Images/0917.jpg	not healthy	8	Go	space	space	1	0.528538499842398
healthRev	Go = not healthy    No-go = healthy	0	38	FOODGNG_Images/0113.jpg	not healthy	2	Go	space	space	1	0.521408199798316
healthRev	Go = not healthy    No-go = healthy	0	39	FOODGNG_Images/0907.jpg	not healthy	7	Go	space	space	1	0.502786599914543
healthRev	Go = not healthy    No-go = healthy	0	40	FOODGNG_Images/0587.jpg	not healthy	5	Go	space	space	1	0.463039199821651
healthRev	Go = not healthy    No-go = healthy	0	41	FOODGNG_Images/0907.jpg	not healthy	7	Go	space	space	1	0.470968599896878
healthRev	Go = not healthy    No-go = healthy	0	42	FOODGNG_Images/0065.jpg	not healthy	8	Go	space	space	1	0.487348799942993
healthRev	Go = not healthy    No-go = healthy	0	43	FOODGNG_Images/0352.jpg	healthy	93	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	44	FOODGNG_Images/0560.jpg	healthy	95	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	45	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.656385499867611
healthRev	Go = not healthy    No-go = healthy	0	46	FOODGNG_Images/0766.jpg	healthy	93	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	47	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.719240999897011
healthRev	Go = not healthy    No-go = healthy	0	48	FOODGNG_Images/0282.jpg	healthy	93	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	49	FOODGNG_Images/0065.jpg	not healthy	8	Go	space	space	1	1.38187549985014
healthRev	Go = not healthy    No-go = healthy	0	50	FOODGNG_Images/0925.jpg	not healthy	3	Go	space	space	1	1.77081109990831
healthRev	Go = not healthy    No-go = healthy	0	51	FOODGNG_Images/0438.jpg	healthy	93	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	52	FOODGNG_Images/0263.jpg	healthy	98	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	53	FOODGNG_Images/0640.jpg	healthy	93	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	54	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.520137599902228
healthRev	Go = not healthy    No-go = healthy	0	55	FOODGNG_Images/0916.jpg	not healthy	5	Go	space	space	1	0.724207499879412
healthRev	Go = not healthy    No-go = healthy	0	56	FOODGNG_Images/0373.jpg	not healthy	4	Go	space	space	1	0.506682999897748
healthRev	Go = not healthy    No-go = healthy	0	57	FOODGNG_Images/0917.jpg	not healthy	8	Go	space	space	1	0.644058699836023
healthRev	Go = not healthy    No-go = healthy	0	58	FOODGNG_Images/0647.jpg	healthy	94	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	59	FOODGNG_Images/0373.jpg	not healthy	4	Go	space	space	1	1.1446491999086
healthRev	Go = not healthy    No-go = healthy	0	60	FOODGNG_Images/0797.jpg	healthy	96	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	61	FOODGNG_Images/0113.jpg	not healthy	2	Go	space	space	1	0.566646699910052
healthRev	Go = not healthy    No-go = healthy	0	62	FOODGNG_Images/0917.jpg	not healthy	8	Go	space	space	1	0.643591099884361
healthRev	Go = not healthy    No-go = healthy	0	63	FOODGNG_Images/0587.jpg	not healthy	5	Go	space	space	1	1.04157019988634
healthRev	Go = not healthy    No-go = healthy	0	64	FOODGNG_Images/0906.jpg	not healthy	4	Go	space	space	1	0.651389799895696
healthRev	Go = not healthy    No-go = healthy	0	65	FOODGNG_Images/0046.jpg	not healthy	5	Go	space	space	1	0.553806099924259
healthRev	Go = not healthy    No-go = healthy	0	66	FOODGNG_Images/0906.jpg	not healthy	4	Go	space	space	1	0.503245899803005
healthRev	Go = not healthy    No-go = healthy	0	67	FOODGNG_Images/0046.jpg	not healthy	5	Go	space	space	1	0.51377599989064
healthRev	Go = not healthy    No-go = healthy	0	68	FOODGNG_Images/0922.jpg	not healthy	5	Go	space	space	1	0.490374599932693
healthRev	Go = not healthy    No-go = healthy	0	69	FOODGNG_Images/0906.jpg	not healthy	4	Go	space	space	1	0.489461399847642
healthRev	Go = not healthy    No-go = healthy	0	70	FOODGNG_Images/0644.jpg	healthy	94	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	71	FOODGNG_Images/0913.jpg	not healthy	2	Go	space	space	1	0.530768699944019
healthRev	Go = not healthy    No-go = healthy	0	72	FOODGNG_Images/0916.jpg	not healthy	5	Go	space	space	1	0.625306599889882
healthRev	Go = not healthy    No-go = healthy	0	73	FOODGNG_Images/0787.jpg	healthy	95	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	74	FOODGNG_Images/0913.jpg	not healthy	2	Go	space	space	1	0.560647299978882
healthRev	Go = not healthy    No-go = healthy	0	75	FOODGNG_Images/0909.jpg	not healthy	3	Go	space	space	1	0.581123299896717
healthRev	Go = not healthy    No-go = healthy	0	76	FOODGNG_Images/0065.jpg	not healthy	8	Go	space	space	1	0.680799399968237
healthRev	Go = not healthy    No-go = healthy	0	77	FOODGNG_Images/0113.jpg	not healthy	2	Go	space	space	1	0.567038399865851
healthRev	Go = not healthy    No-go = healthy	0	78	FOODGNG_Images/0907.jpg	not healthy	7	Go	space	space	1	1.19210429990198
healthRev	Go = not healthy    No-go = healthy	0	79	FOODGNG_Images/0587.jpg	not healthy	5	Go	space	space	1	0.632084299926646
healthRev	Go = not healthy    No-go = healthy	0	80	FOODGNG_Images/0917.jpg	not healthy	8	Go	space	space	1	0.522305899881758
healthRev	Go = not healthy    No-go = healthy	0	81	FOODGNG_Images/0787.jpg	healthy	95	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	82	FOODGNG_Images/0918.jpg	not healthy	3	Go	space	space	1	0.48856819991488
healthRev	Go = not healthy    No-go = healthy	0	83	FOODGNG_Images/0113.jpg	not healthy	2	Go	space	space	1	0.580276799853891
healthRev	Go = not healthy    No-go = healthy	0	84	FOODGNG_Images/0922.jpg	not healthy	5	Go	space	space	1	0.715479499893263
healthRev	Go = not healthy    No-go = healthy	0	85	FOODGNG_Images/0560.jpg	healthy	95	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	86	FOODGNG_Images/0913.jpg	not healthy	2	Go	space	space	1	0.619561999919824
healthRev	Go = not healthy    No-go = healthy	0	87	FOODGNG_Images/0278.jpg	healthy	96	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	88	FOODGNG_Images/0916.jpg	not healthy	5	Go	space	space	1	0.584979199804366
healthRev	Go = not healthy    No-go = healthy	0	89	FOODGNG_Images/0226.jpg	healthy	94	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	90	FOODGNG_Images/0922.jpg	not healthy	5	Go	space	space	1	0.797849499853328
healthRev	Go = not healthy    No-go = healthy	0	91	FOODGNG_Images/0766.jpg	healthy	93	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	92	FOODGNG_Images/0916.jpg	not healthy	5	Go	space	space	1	0.546051399898715
healthRev	Go = not healthy    No-go = healthy	0	93	FOODGNG_Images/0263.jpg	healthy	98	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	94	FOODGNG_Images/0909.jpg	not healthy	3	Go	space	space	1	0.63223729992751
healthRev	Go = not healthy    No-go = healthy	0	95	FOODGNG_Images/0373.jpg	not healthy	4	Go	space	space	1	0.672955699963495
healthRev	Go = not healthy    No-go = healthy	0	96	FOODGNG_Images/0925.jpg	not healthy	3	Go	space	space	1	0.72279459994752
healthRev	Go = not healthy    No-go = healthy	0	97	FOODGNG_Images/0909.jpg	not healthy	3	Go	space	space	1	1.27319169987459
healthRev	Go = not healthy    No-go = healthy	0	98	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.753533699898981
healthRev	Go = not healthy    No-go = healthy	0	99	FOODGNG_Images/0438.jpg	healthy	93	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	0	FOODGNG_Images/0479.jpg	tasty	98	Go	space	space	1	0.814637899864465
taste	Go = tasty    No-go = not tasty	1	1	FOODGNG_Images/0250.jpg	tasty	95	Go	space	space	1	0.806895099929534
taste	Go = tasty    No-go = not tasty	1	2	FOODGNG_Images/0920.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	3	FOODGNG_Images/0878.jpg	tasty	100	Go	space	space	1	0.542257899884135
taste	Go = tasty    No-go = not tasty	1	4	FOODGNG_Images/0796.jpg	tasty	99	Go	space	space	1	0.502388499910012
taste	Go = tasty    No-go = not tasty	1	5	FOODGNG_Images/0881.jpg	tasty	98	Go	space	space	1	0.655240299878642
taste	Go = tasty    No-go = not tasty	1	6	FOODGNG_Images/0903.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	7	FOODGNG_Images/0679.jpg	not tasty	4	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	8	FOODGNG_Images/0234.jpg	tasty	96	Go	space	space	1	0.578058699844405
taste	Go = tasty    No-go = not tasty	1	9	FOODGNG_Images/0479.jpg	tasty	98	Go	space	space	1	0.546689199865796
taste	Go = tasty    No-go = not tasty	1	10	FOODGNG_Images/0903.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	11	FOODGNG_Images/0202.jpg	tasty	96	Go	space	space	1	0.577090699924156
taste	Go = tasty    No-go = not tasty	1	12	FOODGNG_Images/0902.jpg	not tasty	4	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	13	FOODGNG_Images/0878.jpg	tasty	100	Go	space	space	1	0.657881799968891
taste	Go = tasty    No-go = not tasty	1	14	FOODGNG_Images/0250.jpg	tasty	95	Go	space	space	1	0.662374699837528
taste	Go = tasty    No-go = not tasty	1	15	FOODGNG_Images/0921.jpg	not tasty	2	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	16	FOODGNG_Images/0905.jpg	not tasty	2	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	17	FOODGNG_Images/0234.jpg	tasty	96	Go	space	space	1	0.627118199830875
taste	Go = tasty    No-go = not tasty	1	18	FOODGNG_Images/0910.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	19	FOODGNG_Images/0199.jpg	tasty	95	Go	space	space	1	0.974807099904865
taste	Go = tasty    No-go = not tasty	1	20	FOODGNG_Images/0250.jpg	tasty	95	Go	space	space	1	0.899844899890013
taste	Go = tasty    No-go = not tasty	1	21	FOODGNG_Images/0878.jpg	tasty	100	Go	space	space	1	0.709301599883474
taste	Go = tasty    No-go = not tasty	1	22	FOODGNG_Images/0116.jpg	tasty	95	Go	space	space	1	1.20644569990691
taste	Go = tasty    No-go = not tasty	1	23	FOODGNG_Images/0910.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	24	FOODGNG_Images/0479.jpg	tasty	98	Go	space	space	1	0.500274999882095
taste	Go = tasty    No-go = not tasty	1	25	FOODGNG_Images/0679.jpg	not tasty	4	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	26	FOODGNG_Images/0244.jpg	tasty	97	Go	space	space	1	0.72001449984964
taste	Go = tasty    No-go = not tasty	1	27	FOODGNG_Images/0202.jpg	tasty	96	Go	space	space	1	0.524168499978259
taste	Go = tasty    No-go = not tasty	1	28	FOODGNG_Images/0199.jpg	tasty	95	Go	space	space	1	0.500400099903345
taste	Go = tasty    No-go = not tasty	1	29	FOODGNG_Images/0365.jpg	tasty	97	Go	space	space	1	0.550233599846251
taste	Go = tasty    No-go = not tasty	1	30	FOODGNG_Images/0796.jpg	tasty	99	Go	space	space	1	0.557325399830006
taste	Go = tasty    No-go = not tasty	1	31	FOODGNG_Images/0881.jpg	tasty	98	Go	space	space	1	0.55564869986847
taste	Go = tasty    No-go = not tasty	1	32	FOODGNG_Images/0900.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	33	FOODGNG_Images/0912.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	1	34	FOODGNG_Images/0234.jpg	tasty	96	Go	space	space	1	0.429921899922192
taste	Go = tasty    No-go = not tasty	1	35	FOODGNG_Images/0529.jpg	tasty	97	Go	space	space	1	0.527395099867135
taste	Go = tasty    No-go = not tasty	1	36	FOODGNG_Images/0365.jpg	tasty	97	Go	space	space	1	0.495129799819551
taste	Go = tasty    No-go = not tasty	1	37	FOODGNG_Images/0890.jpg	tasty	96	Go	space	space	1	0.72253859997727
taste	Go = tasty    No-go = not tasty	1	38	FOODGNG_Images/0199.jpg	tasty	95	Go	space	space	1	0.513493299833499
