blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
healthRev	Go = not healthy    No-go = healthy	0	0	FOODGNG_Images/0912.jpg	not healthy	1	Go	space	space	1	1.40703909999866
healthRev	Go = not healthy    No-go = healthy	0	1	FOODGNG_Images/0004.jpg	not healthy	1	Go	space	space	1	1.18441880001046
healthRev	Go = not healthy    No-go = healthy	0	2	FOODGNG_Images/0912.jpg	not healthy	1	Go	space	space	1	0.599963500004378
healthRev	Go = not healthy    No-go = healthy	0	3	FOODGNG_Images/0640.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	4	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	1.05441560001054
healthRev	Go = not healthy    No-go = healthy	0	5	FOODGNG_Images/0113.jpg	not healthy	1	Go	space	space	1	0.642547799987369
healthRev	Go = not healthy    No-go = healthy	0	6	FOODGNG_Images/0488.jpg	not healthy	0	Go	space	space	1	0.733211099999608
healthRev	Go = not healthy    No-go = healthy	0	7	FOODGNG_Images/0262.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	8	FOODGNG_Images/0004.jpg	not healthy	1	Go	space	space	1	0.509580600002664
healthRev	Go = not healthy    No-go = healthy	0	9	FOODGNG_Images/0282.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	10	FOODGNG_Images/0901.jpg	not healthy	1	Go	space	None	0	NaN
healthRev	Go = not healthy    No-go = healthy	0	11	FOODGNG_Images/0906.jpg	not healthy	1	Go	space	space	1	0.619783599991933
healthRev	Go = not healthy    No-go = healthy	0	12	FOODGNG_Images/0282.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	13	FOODGNG_Images/0906.jpg	not healthy	1	Go	space	space	1	0.718479599992861
healthRev	Go = not healthy    No-go = healthy	0	14	FOODGNG_Images/0547.jpg	not healthy	1	Go	space	space	1	0.582548599995789
healthRev	Go = not healthy    No-go = healthy	0	15	FOODGNG_Images/0189.jpg	not healthy	0	Go	space	space	1	0.551205599986133
healthRev	Go = not healthy    No-go = healthy	0	16	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.624567200007732
healthRev	Go = not healthy    No-go = healthy	0	17	FOODGNG_Images/0645.jpg	not healthy	1	Go	space	space	1	0.534041800012346
healthRev	Go = not healthy    No-go = healthy	0	18	FOODGNG_Images/0046.jpg	not healthy	1	Go	space	space	1	0.531869099999312
healthRev	Go = not healthy    No-go = healthy	0	19	FOODGNG_Images/0494.jpg	not healthy	1	Go	space	space	1	0.516772999995737
healthRev	Go = not healthy    No-go = healthy	0	20	FOODGNG_Images/0004.jpg	not healthy	1	Go	space	space	1	0.519123800011585
healthRev	Go = not healthy    No-go = healthy	0	21	FOODGNG_Images/0901.jpg	not healthy	1	Go	space	space	1	0.575173599994741
healthRev	Go = not healthy    No-go = healthy	0	22	FOODGNG_Images/0234.jpg	healthy	100	NoGo	None	space	0	0.504634700002498
healthRev	Go = not healthy    No-go = healthy	0	23	FOODGNG_Images/0903.jpg	not healthy	1	Go	space	space	1	0.659732700005407
healthRev	Go = not healthy    No-go = healthy	0	24	FOODGNG_Images/0244.jpg	not healthy	1	Go	space	space	1	0.55049149999104
healthRev	Go = not healthy    No-go = healthy	0	25	FOODGNG_Images/0488.jpg	not healthy	0	Go	space	space	1	0.706358099996578
healthRev	Go = not healthy    No-go = healthy	0	26	FOODGNG_Images/0202.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	27	FOODGNG_Images/0488.jpg	not healthy	0	Go	space	space	1	0.521611799995298
healthRev	Go = not healthy    No-go = healthy	0	28	FOODGNG_Images/0645.jpg	not healthy	1	Go	space	space	1	0.712192799997865
healthRev	Go = not healthy    No-go = healthy	0	29	FOODGNG_Images/0244.jpg	not healthy	1	Go	space	space	1	0.734855200003949
healthRev	Go = not healthy    No-go = healthy	0	30	FOODGNG_Images/0906.jpg	not healthy	1	Go	space	space	1	0.49857680000423
healthRev	Go = not healthy    No-go = healthy	0	31	FOODGNG_Images/0827.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	32	FOODGNG_Images/0901.jpg	not healthy	1	Go	space	space	1	0.553716100010206
healthRev	Go = not healthy    No-go = healthy	0	33	FOODGNG_Images/0614.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	34	FOODGNG_Images/0547.jpg	not healthy	1	Go	space	space	1	0.536957600008463
healthRev	Go = not healthy    No-go = healthy	0	35	FOODGNG_Images/0752.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	36	FOODGNG_Images/0046.jpg	not healthy	1	Go	space	space	1	0.510487299994566
healthRev	Go = not healthy    No-go = healthy	0	37	FOODGNG_Images/0113.jpg	not healthy	1	Go	space	space	1	0.560240899998462
healthRev	Go = not healthy    No-go = healthy	0	38	FOODGNG_Images/0547.jpg	not healthy	1	Go	space	space	1	0.511070799999288
healthRev	Go = not healthy    No-go = healthy	0	39	FOODGNG_Images/0046.jpg	not healthy	1	Go	space	space	1	0.467271099987556
healthRev	Go = not healthy    No-go = healthy	0	40	FOODGNG_Images/0752.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	41	FOODGNG_Images/0488.jpg	not healthy	0	Go	space	space	1	0.512163399995188
healthRev	Go = not healthy    No-go = healthy	0	42	FOODGNG_Images/0907.jpg	not healthy	1	Go	space	space	1	0.523425999999745
healthRev	Go = not healthy    No-go = healthy	0	43	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.492638600000646
healthRev	Go = not healthy    No-go = healthy	0	44	FOODGNG_Images/0901.jpg	not healthy	1	Go	space	space	1	0.588094799997634
healthRev	Go = not healthy    No-go = healthy	0	45	FOODGNG_Images/0046.jpg	not healthy	1	Go	space	space	1	0.500424600002589
healthRev	Go = not healthy    No-go = healthy	0	46	FOODGNG_Images/0113.jpg	not healthy	1	Go	space	space	1	0.5482989000011
healthRev	Go = not healthy    No-go = healthy	0	47	FOODGNG_Images/0912.jpg	not healthy	1	Go	space	space	1	0.503745299996808
healthRev	Go = not healthy    No-go = healthy	0	48	FOODGNG_Images/0771.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	49	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.510280800008331
healthRev	Go = not healthy    No-go = healthy	0	50	FOODGNG_Images/0494.jpg	not healthy	1	Go	space	space	1	0.459911800004193
healthRev	Go = not healthy    No-go = healthy	0	51	FOODGNG_Images/0912.jpg	not healthy	1	Go	space	space	1	0.388753100007307
healthRev	Go = not healthy    No-go = healthy	0	52	FOODGNG_Images/0189.jpg	not healthy	0	Go	space	space	1	0.466737700000522
healthRev	Go = not healthy    No-go = healthy	0	53	FOODGNG_Images/0907.jpg	not healthy	1	Go	space	space	1	0.453456699993694
healthRev	Go = not healthy    No-go = healthy	0	54	FOODGNG_Images/0827.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	55	FOODGNG_Images/0901.jpg	not healthy	1	Go	space	space	1	0.646294399994076
healthRev	Go = not healthy    No-go = healthy	0	56	FOODGNG_Images/0113.jpg	not healthy	1	Go	space	space	1	0.483886799993343
healthRev	Go = not healthy    No-go = healthy	0	57	FOODGNG_Images/0614.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	58	FOODGNG_Images/0244.jpg	not healthy	1	Go	space	space	1	0.525978899997426
healthRev	Go = not healthy    No-go = healthy	0	59	FOODGNG_Images/0771.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	60	FOODGNG_Images/0189.jpg	not healthy	0	Go	space	space	1	0.513988999999128
healthRev	Go = not healthy    No-go = healthy	0	61	FOODGNG_Images/0903.jpg	not healthy	1	Go	space	space	1	0.501362700000755
healthRev	Go = not healthy    No-go = healthy	0	62	FOODGNG_Images/0189.jpg	not healthy	0	Go	space	space	1	0.557717000003322
healthRev	Go = not healthy    No-go = healthy	0	63	FOODGNG_Images/0644.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	64	FOODGNG_Images/0547.jpg	not healthy	1	Go	space	space	1	0.582075999991503
healthRev	Go = not healthy    No-go = healthy	0	65	FOODGNG_Images/0359.jpg	healthy	100	NoGo	None	space	0	0.829507000002195
healthRev	Go = not healthy    No-go = healthy	0	66	FOODGNG_Images/0244.jpg	not healthy	1	Go	space	space	1	0.582069399999455
healthRev	Go = not healthy    No-go = healthy	0	67	FOODGNG_Images/0645.jpg	not healthy	1	Go	space	space	1	0.571847100000014
healthRev	Go = not healthy    No-go = healthy	0	68	FOODGNG_Images/0202.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	69	FOODGNG_Images/0046.jpg	not healthy	1	Go	space	space	1	0.795813899996574
healthRev	Go = not healthy    No-go = healthy	0	70	FOODGNG_Images/0906.jpg	not healthy	1	Go	space	space	1	0.516746399996919
healthRev	Go = not healthy    No-go = healthy	0	71	FOODGNG_Images/0912.jpg	not healthy	1	Go	space	space	1	0.509191999997711
