onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
320.828125	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	164265	250
322.865234375	1	health	trialStart	1	1	1	foodImage.119	FOODEEG_Images\0927.jpg	NY	Left	No	0.991587900000013	0	165308	251
323.908203125	2	health	foodImageDisplay	1	1	1	foodImage.119	FOODEEG_Images\0927.jpg	NY	Left	No	0.991587900000013	0	165842	252
325.97265625	0.991587900000013	health	choicePhaseStart	1	1	1	foodImage.119	FOODEEG_Images\0927.jpg	NY	Left	No	0.991587900000013	0	166899	253
326.95703125	0	health	response	1	1	1	foodImage.119	FOODEEG_Images\0927.jpg	NY	Left	No	0.991587900000013	0	167403	234
328.0625	1	health	trialStart	1	2	2	foodImage.61	FOODEEG_Images\0640.jpg	YN	Left	Yes	0.772068400001444	0	167969	251
329.107421875	2	health	foodImageDisplay	1	2	2	foodImage.61	FOODEEG_Images\0640.jpg	YN	Left	Yes	0.772068400001444	0	168504	252
331.177734375	0.772068400001444	health	choicePhaseStart	1	2	2	foodImage.61	FOODEEG_Images\0640.jpg	YN	Left	Yes	0.772068400001444	0	169564	253
331.94140625	0	health	response	1	2	2	foodImage.61	FOODEEG_Images\0640.jpg	YN	Left	Yes	0.772068400001444	0	169955	234
332.99609375	1	health	trialStart	1	3	3	foodImage.23	FOODEEG_Images\0244.jpg	NY	Right	Yes	4.33711390000099	0	170495	251
334.037109375	2	health	foodImageDisplay	1	3	3	foodImage.23	FOODEEG_Images\0244.jpg	NY	Right	Yes	4.33711390000099	0	171028	252
336.1015625	4.33711390000099	health	choicePhaseStart	1	3	3	foodImage.23	FOODEEG_Images\0244.jpg	NY	Right	Yes	4.33711390000099	0	172085	253
340.4296875	0	health	response	1	3	3	foodImage.23	FOODEEG_Images\0244.jpg	NY	Right	Yes	4.33711390000099	0	174301	235
341.47265625	1	decision	trialStart	1	4	4	foodImage.119	FOODEEG_Images\0927.jpg	NY	Left	No	0.829155200000969	0	174835	251
342.51171875	2	decision	foodImageDisplay	1	4	4	foodImage.119	FOODEEG_Images\0927.jpg	NY	Left	No	0.829155200000969	0	175367	252
