blockNo	trialNoPerBlock	stim1_path	stim1_healthRating	stim1_tasteRating	stim1_willingToEatRating	stim2_path	stim2_healthRating	stim2_tasteRating	stim2_willingToEatRating	stimChosen_path	respKey	respRT
0	0	FOODPCT_Images/0705.jpg	45	65	60	FOODPCT_Images/0107.jpg	10	85	85	FOODPCT_Images/0107.jpg	m	5.28153819998261
0	1	FOODPCT_Images/0199.jpg	100	70	55	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0914.jpg	m	2.99115809996147
0	2	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0359.jpg	100	10	10	FOODPCT_Images/0359.jpg	m	1.60785129998112
0	3	FOODPCT_Images/0713.jpg	15	85	85	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0713.jpg	z	1.29038050002418
0	4	FOODPCT_Images/0199.jpg	100	70	55	FOODPCT_Images/0282.jpg	100	70	75	FOODPCT_Images/0282.jpg	m	1.23851650004508
0	5	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0199.jpg	100	70	55	FOODPCT_Images/0199.jpg	m	2.12325989996316
0	6	FOODPCT_Images/0766.jpg	100	55	30	FOODPCT_Images/0713.jpg	15	85	85	FOODPCT_Images/0713.jpg	m	1.62827109999489
0	7	FOODPCT_Images/0587.jpg	30	77	75	FOODPCT_Images/0766.jpg	100	55	30	FOODPCT_Images/0766.jpg	m	2.17997110000579
0	8	FOODPCT_Images/0478.jpg	90	98	98	FOODPCT_Images/0183.jpg	70	60	51	FOODPCT_Images/0183.jpg	m	2.66634669998894
0	9	FOODPCT_Images/0560.jpg	80	70	45	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0560.jpg	z	1.23098640004173
0	10	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0763.jpg	z	0.891236700001173
0	11	FOODPCT_Images/0713.jpg	15	85	85	FOODPCT_Images/0560.jpg	80	70	45	FOODPCT_Images/0713.jpg	z	6.08873419999145
0	12	FOODPCT_Images/0676.jpg	15	90	90	FOODPCT_Images/0199.jpg	100	70	55	FOODPCT_Images/0676.jpg	z	3.15194650000194
0	13	FOODPCT_Images/0183.jpg	70	60	51	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0183.jpg	z	1.54772310005501
0	14	FOODPCT_Images/0046.jpg	25	85	85	FOODPCT_Images/0705.jpg	45	65	60	FOODPCT_Images/0705.jpg	m	5.06071140000131
0	15	FOODPCT_Images/0250.jpg	100	55	15	FOODPCT_Images/0319.jpg	70	100	100	FOODPCT_Images/0319.jpg	m	3.57941329997266
0	16	FOODPCT_Images/0319.jpg	70	100	100	FOODPCT_Images/0199.jpg	100	70	55	FOODPCT_Images/0319.jpg	z	1.39056500000879
0	17	FOODPCT_Images/0912.jpg	50	20	0	FOODPCT_Images/0587.jpg	30	77	75	FOODPCT_Images/0912.jpg	z	3.39902780001285
0	18	FOODPCT_Images/0107.jpg	10	85	85	FOODPCT_Images/0459.jpg	70	80	80	FOODPCT_Images/0107.jpg	z	2.76490249997005
0	19	FOODPCT_Images/0359.jpg	100	10	10	FOODPCT_Images/0319.jpg	70	100	100	FOODPCT_Images/0319.jpg	m	1.96118049998768
0	20	FOODPCT_Images/0250.jpg	100	55	15	FOODPCT_Images/0676.jpg	15	90	90	FOODPCT_Images/0250.jpg	z	4.44502009998541
0	21	FOODPCT_Images/0282.jpg	100	70	75	FOODPCT_Images/0705.jpg	45	65	60	FOODPCT_Images/0282.jpg	z	5.96880220004823
0	22	FOODPCT_Images/0365.jpg	100	85	80	FOODPCT_Images/0107.jpg	10	85	85	FOODPCT_Images/0107.jpg	m	4.28949569998076
0	23	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0028.jpg	15	100	100	FOODPCT_Images/0028.jpg	m	1.35907319997204
0	24	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0560.jpg	80	70	45	FOODPCT_Images/0560.jpg	m	2.65969140001107
0	25	FOODPCT_Images/0766.jpg	100	55	30	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0766.jpg	z	1.29491779999807
0	26	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0199.jpg	100	70	55	FOODPCT_Images/0199.jpg	m	1.08279399998719
0	27	FOODPCT_Images/0046.jpg	25	85	85	FOODPCT_Images/0365.jpg	100	85	80	FOODPCT_Images/0365.jpg	m	3.85546359996079
0	28	FOODPCT_Images/0676.jpg	15	90	90	FOODPCT_Images/0367.jpg	30	85	80	FOODPCT_Images/0676.jpg	z	3.70062000001781
0	29	FOODPCT_Images/0282.jpg	100	70	75	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0282.jpg	z	1.29957800003467
0	30	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0914.jpg	m	1.27086039999267
0	31	FOODPCT_Images/0250.jpg	100	55	15	FOODPCT_Images/0560.jpg	80	70	45	FOODPCT_Images/0250.jpg	z	3.98085450002691
0	32	FOODPCT_Images/0478.jpg	90	98	98	FOODPCT_Images/0705.jpg	45	65	60	FOODPCT_Images/0705.jpg	m	1.37056110001868
0	33	FOODPCT_Images/0367.jpg	30	85	80	FOODPCT_Images/0365.jpg	100	85	80	FOODPCT_Images/0365.jpg	m	3.25893740000902
0	34	FOODPCT_Images/0359.jpg	100	10	10	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0359.jpg	z	1.34269560000394
0	35	FOODPCT_Images/0587.jpg	30	77	75	FOODPCT_Images/0459.jpg	70	80	80	FOODPCT_Images/0459.jpg	m	3.38735210004961
0	36	FOODPCT_Images/0250.jpg	100	55	15	FOODPCT_Images/0912.jpg	50	20	0	FOODPCT_Images/0250.jpg	z	2.75650780001888
0	37	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0107.jpg	10	85	85	FOODPCT_Images/0107.jpg	m	1.09731899999315
0	38	FOODPCT_Images/0113.jpg	15	100	90	FOODPCT_Images/0250.jpg	100	55	15	FOODPCT_Images/0113.jpg	z	2.92623139999341
0	39	FOODPCT_Images/0319.jpg	70	100	100	FOODPCT_Images/0459.jpg	70	80	80	FOODPCT_Images/0319.jpg	z	3.34472300001653
0	40	FOODPCT_Images/0250.jpg	100	55	15	FOODPCT_Images/0359.jpg	100	10	10	FOODPCT_Images/0250.jpg	z	4.16242300003069
0	41	FOODPCT_Images/0766.jpg	100	55	30	FOODPCT_Images/0676.jpg	15	90	90	FOODPCT_Images/0676.jpg	m	7.05519610003103
0	42	FOODPCT_Images/0676.jpg	15	90	90	FOODPCT_Images/0183.jpg	70	60	51	FOODPCT_Images/0676.jpg	z	2.71410929999547
0	43	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0705.jpg	45	65	60	FOODPCT_Images/0705.jpg	m	1.26551080000354
0	44	FOODPCT_Images/0771.jpg	100	80	60	FOODPCT_Images/0365.jpg	100	85	80	FOODPCT_Images/0771.jpg	z	3.13708999997471
0	45	FOODPCT_Images/0705.jpg	45	65	60	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0705.jpg	z	2.74862570001278
0	46	FOODPCT_Images/0367.jpg	30	85	80	FOODPCT_Images/0713.jpg	15	85	85	FOODPCT_Images/0713.jpg	m	1.31050230003893
0	47	FOODPCT_Images/0560.jpg	80	70	45	FOODPCT_Images/0350.jpg	40	100	100	FOODPCT_Images/0560.jpg	z	1.08857459999854
0	48	FOODPCT_Images/0183.jpg	70	60	51	FOODPCT_Images/0282.jpg	100	70	75	FOODPCT_Images/0282.jpg	m	0.851411100011319
0	49	FOODPCT_Images/0771.jpg	100	80	60	FOODPCT_Images/0250.jpg	100	55	15	FOODPCT_Images/0771.jpg	z	5.08870349999052
0	50	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0766.jpg	100	55	30	FOODPCT_Images/0766.jpg	m	2.86372800002573
0	51	FOODPCT_Images/0113.jpg	15	100	90	FOODPCT_Images/0046.jpg	25	85	85	FOODPCT_Images/0113.jpg	z	4.83799060003366
0	52	FOODPCT_Images/0107.jpg	10	85	85	FOODPCT_Images/0046.jpg	25	85	85	FOODPCT_Images/0107.jpg	z	2.01299550000113
0	53	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0587.jpg	30	77	75	FOODPCT_Images/0914.jpg	z	1.85098340001423
0	54	FOODPCT_Images/0914.jpg	30	0	0	FOODPCT_Images/0763.jpg	100	55	50	FOODPCT_Images/0914.jpg	z	2.51109189999988
0	55	FOODPCT_Images/0766.jpg	100	55	30	FOODPCT_Images/0319.jpg	70	100	100	FOODPCT_Images/0319.jpg	m	2.77982519997749
0	56	FOODPCT_Images/0705.jpg	45	65	60	FOODPCT_Images/0113.jpg	15	100	90	FOODPCT_Images/0113.jpg	m	3.27859520004131
0	57	FOODPCT_Images/0912.jpg	50	20	0	FOODPCT_Images/0183.jpg	70	60	51	FOODPCT_Images/0183.jpg	m	2.09306280000601
0	58	FOODPCT_Images/0560.jpg	80	70	45	FOODPCT_Images/0113.jpg	15	100	90	FOODPCT_Images/0113.jpg	m	3.66319519997342
