blockNo	trialNoPerBlock	stim1_path	stim1_healthRating	stim1_tasteRating	stim1_willingToEatRating	stim2_path	stim2_healthRating	stim2_tasteRating	stim2_willingToEatRating	stimChosen_path	respKey	respRT
0	0	FOODPCT_Images/0752.jpg	91	93	98	FOODPCT_Images/0282.jpg	70	83	89	FOODPCT_Images/0752.jpg	z	5.76313549978659
0	1	FOODPCT_Images/0763.jpg	88	92	95	FOODPCT_Images/0771.jpg	92	96	99	FOODPCT_Images/0771.jpg	m	1.0332348998636
0	2	FOODPCT_Images/0705.jpg	53	66	61	FOODPCT_Images/0645.jpg	51	62	59	FOODPCT_Images/0705.jpg	z	7.25090879946947
0	3	FOODPCT_Images/0645.jpg	51	62	59	FOODPCT_Images/0586.jpg	54	45	44	FOODPCT_Images/0645.jpg	z	1.48579909978434
0	4	FOODPCT_Images/0763.jpg	88	92	95	FOODPCT_Images/0794.jpg	68	64	63	FOODPCT_Images/0794.jpg	m	0.949729099869728
0	5	FOODPCT_Images/0116.jpg	31	93	89	FOODPCT_Images/0763.jpg	88	92	95	FOODPCT_Images/0116.jpg	z	0.994626800063998
0	6	FOODPCT_Images/0794.jpg	68	64	63	FOODPCT_Images/0282.jpg	70	83	89	FOODPCT_Images/0282.jpg	m	3.16926489956677
0	7	FOODPCT_Images/0705.jpg	53	66	61	FOODPCT_Images/0202.jpg	100	100	100	FOODPCT_Images/0705.jpg	z	1.10265430016443
0	8	FOODPCT_Images/0202.jpg	100	100	100	FOODPCT_Images/0925.jpg	61	78	73	FOODPCT_Images/0925.jpg	m	2.68631029967219
0	9	FOODPCT_Images/0234.jpg	100	100	100	FOODPCT_Images/0250.jpg	100	100	100	FOODPCT_Images/0250.jpg	m	3.503802199848
0	10	FOODPCT_Images/0438.jpg	87	86	88	FOODPCT_Images/0714.jpg	48	41	23	FOODPCT_Images/0714.jpg	m	2.30445379950106
0	11	FOODPCT_Images/0263.jpg	71	77	75	FOODPCT_Images/0752.jpg	91	93	98	FOODPCT_Images/0263.jpg	z	2.32671779999509
0	12	FOODPCT_Images/0587.jpg	57	34	15	FOODPCT_Images/0116.jpg	31	93	89	FOODPCT_Images/0587.jpg	z	1.42937779985368
0	13	FOODPCT_Images/0925.jpg	61	78	73	FOODPCT_Images/0515.jpg	35	50	54	FOODPCT_Images/0925.jpg	z	3.57249830011278
0	14	FOODPCT_Images/0925.jpg	61	78	73	FOODPCT_Images/0586.jpg	54	45	44	FOODPCT_Images/0586.jpg	m	1.91600009985268
0	15	FOODPCT_Images/0605.jpg	41	37	38	FOODPCT_Images/0645.jpg	51	62	59	FOODPCT_Images/0645.jpg	m	4.16411110013723
0	16	FOODPCT_Images/0896.jpg	49	75	75	FOODPCT_Images/0445.jpg	86	89	93	FOODPCT_Images/0896.jpg	z	1.9136385996826
0	17	FOODPCT_Images/0116.jpg	31	93	89	FOODPCT_Images/0896.jpg	49	75	75	FOODPCT_Images/0896.jpg	m	1.47349500004202
0	18	FOODPCT_Images/0878.jpg	33	66	70	FOODPCT_Images/0263.jpg	71	77	75	FOODPCT_Images/0263.jpg	m	8.11803619982675
0	19	FOODPCT_Images/0771.jpg	92	96	99	FOODPCT_Images/0605.jpg	41	37	38	FOODPCT_Images/0605.jpg	m	3.72062599984929
0	20	FOODPCT_Images/0605.jpg	41	37	38	FOODPCT_Images/0329.jpg	80	89	91	FOODPCT_Images/0329.jpg	m	1.1555176996626
0	21	FOODPCT_Images/0771.jpg	92	96	99	FOODPCT_Images/0714.jpg	48	41	23	FOODPCT_Images/0714.jpg	m	1.54617059975863
0	22	FOODPCT_Images/0236.jpg	56	44	38	FOODPCT_Images/0645.jpg	51	62	59	FOODPCT_Images/0645.jpg	m	1.03158769989386
