blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
healthRev	Go = not healthy    No-go = healthy	0	0	FOODGNG_Images/0529.jpg	healthy	75	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	1	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.400943700689822
healthRev	Go = not healthy    No-go = healthy	0	2	FOODGNG_Images/0189.jpg	not healthy	6	Go	space	space	1	0.479967800434679
healthRev	Go = not healthy    No-go = healthy	0	3	FOODGNG_Images/0917.jpg	not healthy	3	Go	space	space	1	1.53742590034381
healthRev	Go = not healthy    No-go = healthy	0	4	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.610572000499815
healthRev	Go = not healthy    No-go = healthy	0	5	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.394878000486642
healthRev	Go = not healthy    No-go = healthy	0	6	FOODGNG_Images/0911.jpg	not healthy	1	Go	space	space	1	0.713209600187838
healthRev	Go = not healthy    No-go = healthy	0	7	FOODGNG_Images/0676.jpg	not healthy	11	Go	space	space	1	0.482286900747567
healthRev	Go = not healthy    No-go = healthy	0	8	FOODGNG_Images/0926.jpg	not healthy	6	Go	space	space	1	0.682919500395656
healthRev	Go = not healthy    No-go = healthy	0	9	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.557376600336283
healthRev	Go = not healthy    No-go = healthy	0	10	FOODGNG_Images/0676.jpg	not healthy	11	Go	space	space	1	0.470131800044328
healthRev	Go = not healthy    No-go = healthy	0	11	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.554608100559562
healthRev	Go = not healthy    No-go = healthy	0	12	FOODGNG_Images/0028.jpg	not healthy	10	Go	space	space	1	0.40943150036037
healthRev	Go = not healthy    No-go = healthy	0	13	FOODGNG_Images/0763.jpg	healthy	76	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	14	FOODGNG_Images/0004.jpg	not healthy	11	Go	space	space	1	0.605479800142348
healthRev	Go = not healthy    No-go = healthy	0	15	FOODGNG_Images/0676.jpg	not healthy	11	Go	space	space	1	0.509067700244486
healthRev	Go = not healthy    No-go = healthy	0	16	FOODGNG_Images/0926.jpg	not healthy	6	Go	space	space	1	0.637884899973869
healthRev	Go = not healthy    No-go = healthy	0	17	FOODGNG_Images/0640.jpg	healthy	100	NoGo	None	space	0	0.393403100315481
healthRev	Go = not healthy    No-go = healthy	0	18	FOODGNG_Images/0919.jpg	not healthy	1	Go	space	space	1	0.603766400367022
healthRev	Go = not healthy    No-go = healthy	0	19	FOODGNG_Images/0926.jpg	not healthy	6	Go	space	space	1	0.767235100269318
healthRev	Go = not healthy    No-go = healthy	0	20	FOODGNG_Images/0116.jpg	not healthy	3	Go	space	space	1	0.559222100302577
healthRev	Go = not healthy    No-go = healthy	0	21	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.442928100470454
healthRev	Go = not healthy    No-go = healthy	0	22	FOODGNG_Images/0919.jpg	not healthy	1	Go	space	space	1	0.755951400380582
healthRev	Go = not healthy    No-go = healthy	0	23	FOODGNG_Images/0787.jpg	healthy	84	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	24	FOODGNG_Images/0138.jpg	not healthy	1	Go	space	space	1	0.430369100067765
healthRev	Go = not healthy    No-go = healthy	0	25	FOODGNG_Images/0911.jpg	not healthy	1	Go	space	space	1	0.593887200579047
healthRev	Go = not healthy    No-go = healthy	0	26	FOODGNG_Images/0028.jpg	not healthy	10	Go	space	space	1	0.464515400119126
healthRev	Go = not healthy    No-go = healthy	0	27	FOODGNG_Images/0919.jpg	not healthy	1	Go	space	space	1	0.821956899948418
healthRev	Go = not healthy    No-go = healthy	0	28	FOODGNG_Images/0913.jpg	not healthy	8	Go	space	space	1	0.936710100620985
healthRev	Go = not healthy    No-go = healthy	0	29	FOODGNG_Images/0138.jpg	not healthy	1	Go	space	space	1	0.580861200578511
healthRev	Go = not healthy    No-go = healthy	0	30	FOODGNG_Images/0225.jpg	not healthy	13	Go	space	space	1	0.581189300399274
healthRev	Go = not healthy    No-go = healthy	0	31	FOODGNG_Images/0138.jpg	not healthy	1	Go	space	space	1	0.485498300753534
healthRev	Go = not healthy    No-go = healthy	0	32	FOODGNG_Images/0136.jpg	not healthy	3	Go	space	space	1	0.572886000387371
healthRev	Go = not healthy    No-go = healthy	0	33	FOODGNG_Images/0928.jpg	not healthy	2	Go	space	space	1	0.420445800293237
healthRev	Go = not healthy    No-go = healthy	0	34	FOODGNG_Images/0136.jpg	not healthy	3	Go	space	space	1	0.425984300673008
healthRev	Go = not healthy    No-go = healthy	0	35	FOODGNG_Images/0919.jpg	not healthy	1	Go	space	space	1	0.515031100250781
healthRev	Go = not healthy    No-go = healthy	0	36	FOODGNG_Images/0917.jpg	not healthy	3	Go	space	space	1	0.567101900465786
healthRev	Go = not healthy    No-go = healthy	0	37	FOODGNG_Images/0189.jpg	not healthy	6	Go	space	space	1	0.431227300316095
healthRev	Go = not healthy    No-go = healthy	0	38	FOODGNG_Images/0339.jpg	not healthy	1	Go	space	space	1	0.449433300178498
healthRev	Go = not healthy    No-go = healthy	0	39	FOODGNG_Images/0913.jpg	not healthy	8	Go	space	space	1	0.766420800238848
healthRev	Go = not healthy    No-go = healthy	0	40	FOODGNG_Images/0262.jpg	healthy	86	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	41	FOODGNG_Images/0196.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	42	FOODGNG_Images/0116.jpg	not healthy	3	Go	space	space	1	0.530744000338018
healthRev	Go = not healthy    No-go = healthy	0	43	FOODGNG_Images/0282.jpg	healthy	100	NoGo	None	None	1	NaN
healthRev	Go = not healthy    No-go = healthy	0	44	FOODGNG_Images/0225.jpg	not healthy	13	Go	space	space	1	0.664304800331593
healthRev	Go = not healthy    No-go = healthy	0	45	FOODGNG_Images/0136.jpg	not healthy	3	Go	space	space	1	0.522385500371456
