blockNo	trialNoPerBlock	stim1_path	stim1_healthRating	stim1_tasteRating	stim1_willingToEatRating	stim2_path	stim2_healthRating	stim2_tasteRating	stim2_willingToEatRating	stimChosen_path	respKey	respRT
0	0	FOODPCT_Images/0830.jpg	96	97	96	FOODPCT_Images/0922.jpg	36	29	15	FOODPCT_Images/0830.jpg	z	1.06548790028319
0	1	FOODPCT_Images/0830.jpg	96	97	96	FOODPCT_Images/0282.jpg	88	82	100	FOODPCT_Images/0282.jpg	m	0.965204100124538
0	2	FOODPCT_Images/0004.jpg	1	100	100	FOODPCT_Images/0409.jpg	89	90	91	FOODPCT_Images/0409.jpg	m	1.31952280038968
0	3	FOODPCT_Images/0263.jpg	88	87	87	FOODPCT_Images/0438.jpg	100	39	36	FOODPCT_Images/0263.jpg	z	1.0493491999805
0	4	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0373.jpg	11	100	100	FOODPCT_Images/0367.jpg	z	0.862005100119859
0	5	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0138.jpg	8	70	81	FOODPCT_Images/0367.jpg	z	0.714629999827594
0	6	FOODPCT_Images/0107.jpg	9	100	100	FOODPCT_Images/0713.jpg	1	100	81	FOODPCT_Images/0107.jpg	z	2.89259529998526
0	7	FOODPCT_Images/0107.jpg	9	100	100	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0107.jpg	z	0.650496500078589
0	8	FOODPCT_Images/0004.jpg	1	100	100	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0004.jpg	z	0.84219660051167
0	9	FOODPCT_Images/0713.jpg	1	100	81	FOODPCT_Images/0138.jpg	8	70	81	FOODPCT_Images/0138.jpg	m	0.630624300334603
0	10	FOODPCT_Images/0830.jpg	96	97	96	FOODPCT_Images/0373.jpg	11	100	100	FOODPCT_Images/0373.jpg	m	0.632187700364739
0	11	FOODPCT_Images/0138.jpg	8	70	81	FOODPCT_Images/0515.jpg	38	89	92	FOODPCT_Images/0138.jpg	z	0.807439200114459
0	12	FOODPCT_Images/0547.jpg	25	30	25	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0367.jpg	m	0.84253660030663
0	13	FOODPCT_Images/0752.jpg	100	100	100	FOODPCT_Images/0896.jpg	64	97	100	FOODPCT_Images/0896.jpg	m	1.32202409999445
0	14	FOODPCT_Images/0438.jpg	100	39	36	FOODPCT_Images/0409.jpg	89	90	91	FOODPCT_Images/0409.jpg	m	0.68522770004347
0	15	FOODPCT_Images/0234.jpg	100	92	100	FOODPCT_Images/0479.jpg	100	100	100	FOODPCT_Images/0234.jpg	z	0.674346500076354
0	16	FOODPCT_Images/0515.jpg	38	89	92	FOODPCT_Images/0004.jpg	1	100	100	FOODPCT_Images/0515.jpg	z	0.775796600151807
0	17	FOODPCT_Images/0263.jpg	88	87	87	FOODPCT_Images/0352.jpg	77	68	77	FOODPCT_Images/0263.jpg	z	0.688205599784851
0	18	FOODPCT_Images/0116.jpg	1	100	86	FOODPCT_Images/0922.jpg	36	29	15	FOODPCT_Images/0922.jpg	m	0.685415500309318
0	19	FOODPCT_Images/0202.jpg	100	100	100	FOODPCT_Images/0547.jpg	25	30	25	FOODPCT_Images/0547.jpg	m	1.03694050014019
0	20	FOODPCT_Images/0202.jpg	100	100	100	FOODPCT_Images/0004.jpg	1	100	100	FOODPCT_Images/0202.jpg	z	0.631755700334907
0	21	FOODPCT_Images/0438.jpg	100	39	36	FOODPCT_Images/0350.jpg	24	60	60	FOODPCT_Images/0350.jpg	m	0.540491300169379
0	22	FOODPCT_Images/0116.jpg	1	100	86	FOODPCT_Images/0234.jpg	100	92	100	FOODPCT_Images/0116.jpg	z	0.700620000250638
0	23	FOODPCT_Images/0547.jpg	25	30	25	FOODPCT_Images/0438.jpg	100	39	36	FOODPCT_Images/0547.jpg	z	0.642076600342989
0	24	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0234.jpg	100	92	100	FOODPCT_Images/0234.jpg	m	0.473381300456822
0	25	FOODPCT_Images/0145.jpg	26	88	91	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0145.jpg	z	0.720951499883085
0	26	FOODPCT_Images/0752.jpg	100	100	100	FOODPCT_Images/0547.jpg	25	30	25	FOODPCT_Images/0752.jpg	z	0.691907600034028
0	27	FOODPCT_Images/0282.jpg	88	82	100	FOODPCT_Images/0438.jpg	100	39	36	FOODPCT_Images/0282.jpg	z	0.664762999862432
0	28	FOODPCT_Images/0479.jpg	100	100	100	FOODPCT_Images/0116.jpg	1	100	86	FOODPCT_Images/0116.jpg	m	0.596418099943548
0	29	FOODPCT_Images/0479.jpg	100	100	100	FOODPCT_Images/0713.jpg	1	100	81	FOODPCT_Images/0479.jpg	z	1.83091210015118
0	30	FOODPCT_Images/0647.jpg	63	79	81	FOODPCT_Images/0912.jpg	23	31	10	FOODPCT_Images/0647.jpg	z	1.46362850023434
0	31	FOODPCT_Images/0352.jpg	77	68	77	FOODPCT_Images/0004.jpg	1	100	100	FOODPCT_Images/0352.jpg	z	0.78264919994399
0	32	FOODPCT_Images/0547.jpg	25	30	25	FOODPCT_Images/0830.jpg	96	97	96	FOODPCT_Images/0830.jpg	m	0.846238400321454
0	33	FOODPCT_Images/0896.jpg	64	97	100	FOODPCT_Images/0352.jpg	77	68	77	FOODPCT_Images/0896.jpg	z	0.56837400002405
0	34	FOODPCT_Images/0713.jpg	1	100	81	FOODPCT_Images/0282.jpg	88	82	100	FOODPCT_Images/0282.jpg	m	0.988542600069195
0	35	FOODPCT_Images/0830.jpg	96	97	96	FOODPCT_Images/0409.jpg	89	90	91	FOODPCT_Images/0409.jpg	m	0.757324200123549
0	36	FOODPCT_Images/0438.jpg	100	39	36	FOODPCT_Images/0515.jpg	38	89	92	FOODPCT_Images/0515.jpg	m	0.763322100043297
0	37	FOODPCT_Images/0367.jpg	10	90	100	FOODPCT_Images/0647.jpg	63	79	81	FOODPCT_Images/0367.jpg	z	0.658551500178874
0	38	FOODPCT_Images/0479.jpg	100	100	100	FOODPCT_Images/0004.jpg	1	100	100	FOODPCT_Images/0004.jpg	m	0.625434000045061
0	39	FOODPCT_Images/0896.jpg	64	97	100	FOODPCT_Images/0409.jpg	89	90	91	FOODPCT_Images/0409.jpg	m	0.501812200061977
0	40	FOODPCT_Images/0373.jpg	11	100	100	FOODPCT_Images/0145.jpg	26	88	91	FOODPCT_Images/0145.jpg	m	0.53370810020715
0	41	FOODPCT_Images/0352.jpg	77	68	77	FOODPCT_Images/0234.jpg	100	92	100	FOODPCT_Images/0234.jpg	m	0.581463899929076
0	42	FOODPCT_Images/0107.jpg	9	100	100	FOODPCT_Images/0116.jpg	1	100	86	FOODPCT_Images/0107.jpg	z	0.599898100364953
0	43	FOODPCT_Images/0373.jpg	11	100	100	FOODPCT_Images/0479.jpg	100	100	100	FOODPCT_Images/0373.jpg	z	0.867022100370377
0	44	FOODPCT_Images/0409.jpg	89	90	91	FOODPCT_Images/0234.jpg	100	92	100	FOODPCT_Images/0409.jpg	z	0.791552700102329
