blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
taste	Go = tasty    No-go = not tasty	0	0	FOODGNG_Images/0827.jpg	tasty	100	Go	space	space	1	1.08944859999974
taste	Go = tasty    No-go = not tasty	0	1	FOODGNG_Images/0567.jpg	tasty	100	Go	space	space	1	0.839806699999826
taste	Go = tasty    No-go = not tasty	0	2	FOODGNG_Images/0922.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	3	FOODGNG_Images/0547.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	4	FOODGNG_Images/0479.jpg	tasty	100	Go	space	space	1	0.745085100001234
taste	Go = tasty    No-go = not tasty	0	5	FOODGNG_Images/0138.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	6	FOODGNG_Images/0263.jpg	tasty	100	Go	space	space	1	0.854839499999798
taste	Go = tasty    No-go = not tasty	0	7	FOODGNG_Images/0919.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	8	FOODGNG_Images/0479.jpg	tasty	100	Go	space	space	1	0.67043620000004
taste	Go = tasty    No-go = not tasty	0	9	FOODGNG_Images/0202.jpg	tasty	100	Go	space	space	1	0.739605000000665
taste	Go = tasty    No-go = not tasty	0	10	FOODGNG_Images/0922.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	11	FOODGNG_Images/0282.jpg	tasty	100	Go	space	space	1	0.656936199999109
taste	Go = tasty    No-go = not tasty	0	12	FOODGNG_Images/0914.jpg	tasty	100	Go	space	space	1	0.676539699999921
taste	Go = tasty    No-go = not tasty	0	13	FOODGNG_Images/0202.jpg	tasty	100	Go	space	space	1	1.24622780000027
taste	Go = tasty    No-go = not tasty	0	14	FOODGNG_Images/0905.jpg	tasty	100	Go	space	space	1	0.610689799999818
taste	Go = tasty    No-go = not tasty	0	15	FOODGNG_Images/0901.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	16	FOODGNG_Images/0494.jpg	not tasty	3	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	17	FOODGNG_Images/0282.jpg	tasty	100	Go	space	space	1	0.617809700001089
taste	Go = tasty    No-go = not tasty	0	18	FOODGNG_Images/0896.jpg	tasty	100	Go	space	space	1	0.660292799999297
taste	Go = tasty    No-go = not tasty	0	19	FOODGNG_Images/0046.jpg	tasty	100	Go	space	space	1	0.784218799999508
taste	Go = tasty    No-go = not tasty	0	20	FOODGNG_Images/0567.jpg	tasty	100	Go	space	space	1	0.559993599999871
taste	Go = tasty    No-go = not tasty	0	21	FOODGNG_Images/0914.jpg	tasty	100	Go	space	space	1	0.587661900000967
taste	Go = tasty    No-go = not tasty	0	22	FOODGNG_Images/0560.jpg	tasty	100	Go	space	space	1	0.609710000000632
taste	Go = tasty    No-go = not tasty	0	23	FOODGNG_Images/0905.jpg	tasty	100	Go	space	space	1	0.51783130000149
taste	Go = tasty    No-go = not tasty	0	24	FOODGNG_Images/0180.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	25	FOODGNG_Images/0202.jpg	tasty	100	Go	space	space	1	0.574553200000082
taste	Go = tasty    No-go = not tasty	0	26	FOODGNG_Images/0567.jpg	tasty	100	Go	space	space	1	0.520523099999991
taste	Go = tasty    No-go = not tasty	0	27	FOODGNG_Images/0827.jpg	tasty	100	Go	space	space	1	0.693383600000743
taste	Go = tasty    No-go = not tasty	0	28	FOODGNG_Images/0046.jpg	tasty	100	Go	space	space	1	0.57905270000083
taste	Go = tasty    No-go = not tasty	0	29	FOODGNG_Images/0926.jpg	not tasty	2	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	30	FOODGNG_Images/0263.jpg	tasty	100	Go	space	space	1	0.621407400001772
taste	Go = tasty    No-go = not tasty	0	31	FOODGNG_Images/0896.jpg	tasty	100	Go	space	space	1	0.543814099999508
taste	Go = tasty    No-go = not tasty	0	32	FOODGNG_Images/0359.jpg	tasty	100	Go	space	space	1	1.17607090000092
taste	Go = tasty    No-go = not tasty	0	33	FOODGNG_Images/0263.jpg	tasty	100	Go	space	space	1	0.618131600000197
taste	Go = tasty    No-go = not tasty	0	34	FOODGNG_Images/0202.jpg	tasty	100	Go	space	space	1	0.556802200000675
taste	Go = tasty    No-go = not tasty	0	35	FOODGNG_Images/0910.jpg	not tasty	0	NoGo	None	None	1	NaN
taste	Go = tasty    No-go = not tasty	0	36	FOODGNG_Images/0830.jpg	tasty	100	Go	space	space	1	0.542165700000623
taste	Go = tasty    No-go = not tasty	0	37	FOODGNG_Images/0282.jpg	tasty	100	Go	space	space	1	0.417845100000704
taste	Go = tasty    No-go = not tasty	0	38	FOODGNG_Images/0046.jpg	tasty	100	Go	space	space	1	0.601295999998911
taste	Go = tasty    No-go = not tasty	0	39	FOODGNG_Images/0567.jpg	tasty	100	Go	space	space	1	0.438357400000314
taste	Go = tasty    No-go = not tasty	0	40	FOODGNG_Images/0359.jpg	tasty	100	Go	space	space	1	0.821782100001656
