blockNo	trialNoPerBlock	stim1_path	stim1_healthRating	stim1_tasteRating	stim1_willingToEatRating	stim2_path	stim2_healthRating	stim2_tasteRating	stim2_willingToEatRating	stimChosen_path	respKey	respRT
0	0	FOODPCT_Images/0188.jpg	68	77	100	FOODPCT_Images/0136.jpg	40	100	100	FOODPCT_Images/0136.jpg	m	1.48738750000484
0	1	FOODPCT_Images/0645.jpg	37	90	100	FOODPCT_Images/0065.jpg	12	100	100	FOODPCT_Images/0065.jpg	m	1.14471219992265
0	2	FOODPCT_Images/0373.jpg	18	58	92	FOODPCT_Images/0188.jpg	68	77	100	FOODPCT_Images/0373.jpg	z	1.34588999999687
0	3	FOODPCT_Images/0830.jpg	100	76	100	FOODPCT_Images/0459.jpg	100	31	100	FOODPCT_Images/0830.jpg	z	1.93616430019028
0	4	FOODPCT_Images/0478.jpg	100	77	100	FOODPCT_Images/0539.jpg	61	53	99	FOODPCT_Images/0539.jpg	m	1.86459759995341
0	5	FOODPCT_Images/0107.jpg	17	100	100	FOODPCT_Images/0188.jpg	68	77	100	FOODPCT_Images/0107.jpg	z	1.07260920014232
0	6	FOODPCT_Images/0478.jpg	100	77	100	FOODPCT_Images/0614.jpg	52	79	92	FOODPCT_Images/0614.jpg	m	1.59888370009139
0	7	FOODPCT_Images/0107.jpg	17	100	100	FOODPCT_Images/0645.jpg	37	90	100	FOODPCT_Images/0645.jpg	m	1.6875907999929
0	8	FOODPCT_Images/0645.jpg	37	90	100	FOODPCT_Images/0202.jpg	100	87	100	FOODPCT_Images/0645.jpg	z	1.12372070015408
0	9	FOODPCT_Images/0515.jpg	41	100	90	FOODPCT_Images/0226.jpg	64	36	55	FOODPCT_Images/0515.jpg	z	1.05756430001929
0	10	FOODPCT_Images/0046.jpg	28	94	100	FOODPCT_Images/0367.jpg	10	76	100	FOODPCT_Images/0367.jpg	m	0.972095499979332
0	11	FOODPCT_Images/0244.jpg	19	30	10	FOODPCT_Images/0225.jpg	39	62	76	FOODPCT_Images/0225.jpg	m	1.03002579999156
0	12	FOODPCT_Images/0373.jpg	18	58	92	FOODPCT_Images/0587.jpg	55	94	100	FOODPCT_Images/0587.jpg	m	1.2812284999527
0	13	FOODPCT_Images/0459.jpg	100	31	100	FOODPCT_Images/0478.jpg	100	77	100	FOODPCT_Images/0459.jpg	z	0.926021300023422
0	14	FOODPCT_Images/0752.jpg	100	81	100	FOODPCT_Images/0587.jpg	55	94	100	FOODPCT_Images/0587.jpg	m	0.902734500123188
0	15	FOODPCT_Images/0901.jpg	70	70	90	FOODPCT_Images/0183.jpg	21	16	9	FOODPCT_Images/0183.jpg	m	1.23588820011355
0	16	FOODPCT_Images/0539.jpg	61	53	99	FOODPCT_Images/0046.jpg	28	94	100	FOODPCT_Images/0539.jpg	z	0.908129000104964
0	17	FOODPCT_Images/0225.jpg	39	62	76	FOODPCT_Images/0488.jpg	12	87	50	FOODPCT_Images/0488.jpg	m	1.45104800001718
0	18	FOODPCT_Images/0136.jpg	40	100	100	FOODPCT_Images/0587.jpg	55	94	100	FOODPCT_Images/0587.jpg	m	1.39949829992838
0	19	FOODPCT_Images/0881.jpg	100	82	100	FOODPCT_Images/0244.jpg	19	30	10	FOODPCT_Images/0881.jpg	z	1.16614049999043
0	20	FOODPCT_Images/0188.jpg	68	77	100	FOODPCT_Images/0752.jpg	100	81	100	FOODPCT_Images/0188.jpg	z	1.18890920002013
0	21	FOODPCT_Images/0183.jpg	21	16	9	FOODPCT_Images/0539.jpg	61	53	99	FOODPCT_Images/0183.jpg	z	0.950541599886492
0	22	FOODPCT_Images/0901.jpg	70	70	90	FOODPCT_Images/0459.jpg	100	31	100	FOODPCT_Images/0459.jpg	m	0.901792200049385
0	23	FOODPCT_Images/0226.jpg	64	36	55	FOODPCT_Images/0478.jpg	100	77	100	FOODPCT_Images/0478.jpg	m	3.94098119996488
0	24	FOODPCT_Images/0645.jpg	37	90	100	FOODPCT_Images/0830.jpg	100	76	100	FOODPCT_Images/0645.jpg	z	1.6309348999057
0	25	FOODPCT_Images/0539.jpg	61	53	99	FOODPCT_Images/0459.jpg	100	31	100	FOODPCT_Images/0539.jpg	z	1.26061620004475
0	26	FOODPCT_Images/0367.jpg	10	76	100	FOODPCT_Images/0614.jpg	52	79	92	FOODPCT_Images/0367.jpg	z	0.798433199990541
0	27	FOODPCT_Images/0373.jpg	18	58	92	FOODPCT_Images/0488.jpg	12	87	50	FOODPCT_Images/0488.jpg	m	0.819070499856025
0	28	FOODPCT_Images/0183.jpg	21	16	9	FOODPCT_Images/0488.jpg	12	87	50	FOODPCT_Images/0488.jpg	m	2.50160459987819
0	29	FOODPCT_Images/0488.jpg	12	87	50	FOODPCT_Images/0188.jpg	68	77	100	FOODPCT_Images/0488.jpg	z	1.29402299993671
0	30	FOODPCT_Images/0587.jpg	55	94	100	FOODPCT_Images/0679.jpg	55	78	100	FOODPCT_Images/0587.jpg	z	1.07642289996147
0	31	FOODPCT_Images/0183.jpg	21	16	9	FOODPCT_Images/0225.jpg	39	62	76	FOODPCT_Images/0183.jpg	z	1.44507219991647
0	32	FOODPCT_Images/0679.jpg	55	78	100	FOODPCT_Images/0107.jpg	17	100	100	FOODPCT_Images/0107.jpg	m	1.58312249998562
0	33	FOODPCT_Images/0459.jpg	100	31	100	FOODPCT_Images/0136.jpg	40	100	100	FOODPCT_Images/0136.jpg	m	1.54830070002936
0	34	FOODPCT_Images/0614.jpg	52	79	92	FOODPCT_Images/0373.jpg	18	58	92	FOODPCT_Images/0614.jpg	z	2.24069330003113
0	35	FOODPCT_Images/0065.jpg	12	100	100	FOODPCT_Images/0539.jpg	61	53	99	FOODPCT_Images/0065.jpg	z	1.98086660006084
0	36	FOODPCT_Images/0881.jpg	100	82	100	FOODPCT_Images/0065.jpg	12	100	100	FOODPCT_Images/0065.jpg	m	1.33922840002924
