onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
327.412109375	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	167636	250
329.44921875	1	taste	trialStart	1	1	1	foodImage.77	FOODEEG_Images\0771.jpg	NY	Right	Yes	1.24315849999948	0	168679	251
330.498046875	2	taste	foodImageDisplay	1	1	1	foodImage.77	FOODEEG_Images\0771.jpg	NY	Right	Yes	1.24315849999948	0	169216	252
332.564453125	1.24315849999948	taste	choicePhaseStart	1	1	1	foodImage.77	FOODEEG_Images\0771.jpg	NY	Right	Yes	1.24315849999948	0	170274	253
333.80078125	0	taste	response	1	1	1	foodImage.77	FOODEEG_Images\0771.jpg	NY	Right	Yes	1.24315849999948	0	170907	235
334.896484375	1	health	trialStart	1	2	2	foodImage.116	FOODEEG_Images\0924.jpg	NY	Left	No	0.575884600000791	0	171468	251
335.939453125	2	health	foodImageDisplay	1	2	2	foodImage.116	FOODEEG_Images\0924.jpg	NY	Left	No	0.575884600000791	0	172002	252
338.0078125	0.575884600000791	health	choicePhaseStart	1	2	2	foodImage.116	FOODEEG_Images\0924.jpg	NY	Left	No	0.575884600000791	0	173061	253
338.576171875	0	health	response	1	2	2	foodImage.116	FOODEEG_Images\0924.jpg	NY	Left	No	0.575884600000791	0	173352	234
339.630859375	1	decision	trialStart	1	3	3	foodImage.42	FOODEEG_Images\0438.jpg	NY	Left	No	0.747730099999899	0	173892	251
340.72265625	2	decision	foodImageDisplay	1	3	3	foodImage.42	FOODEEG_Images\0438.jpg	NY	Left	No	0.747730099999899	0	174451	252
342.7890625	0.747730099999899	decision	choicePhaseStart	1	3	3	foodImage.42	FOODEEG_Images\0438.jpg	NY	Left	No	0.747730099999899	0	175509	253
343.52734375	0	decision	response	1	3	3	foodImage.42	FOODEEG_Images\0438.jpg	NY	Left	No	0.747730099999899	0	175887	234
344.572265625	1	decision	trialStart	1	4	4	foodImage.50	FOODEEG_Images\0529.jpg	NY	Left	No	0.688440100000662	0	176422	251
345.62890625	2	decision	foodImageDisplay	1	4	4	foodImage.50	FOODEEG_Images\0529.jpg	NY	Left	No	0.688440100000662	0	176963	252
347.6953125	0.688440100000662	decision	choicePhaseStart	1	4	4	foodImage.50	FOODEEG_Images\0529.jpg	NY	Left	No	0.688440100000662	0	178021	253
348.375	0	decision	response	1	4	4	foodImage.50	FOODEEG_Images\0529.jpg	NY	Left	No	0.688440100000662	0	178369	234
349.41796875	1	decision	trialStart	1	5	5	foodImage.47	FOODEEG_Images\0488.jpg	YN	Left	Yes	0.489661699999488	0	178903	251
350.462890625	2	decision	foodImageDisplay	1	5	5	foodImage.47	FOODEEG_Images\0488.jpg	YN	Left	Yes	0.489661699999488	0	179438	252
352.5390625	0.489661699999488	decision	choicePhaseStart	1	5	5	foodImage.47	FOODEEG_Images\0488.jpg	YN	Left	Yes	0.489661699999488	0	180501	253
353.0234375	0	decision	response	1	5	5	foodImage.47	FOODEEG_Images\0488.jpg	YN	Left	Yes	0.489661699999488	0	180749	234
354.072265625	1	taste	trialStart	1	6	6	foodImage.1	FOODEEG_Images\0004.jpg	NY	Right	Yes	1.1388018000016	0	181286	251
355.115234375	2	taste	foodImageDisplay	1	6	6	foodImage.1	FOODEEG_Images\0004.jpg	NY	Right	Yes	1.1388018000016	0	181820	252
357.185546875	1.1388018000016	taste	choicePhaseStart	1	6	6	foodImage.1	FOODEEG_Images\0004.jpg	NY	Right	Yes	1.1388018000016	0	182880	253
358.318359375	0	taste	response	1	6	6	foodImage.1	FOODEEG_Images\0004.jpg	NY	Right	Yes	1.1388018000016	0	183460	235
