onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
254.294921875	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	130200	250
256.333984375	1	decision	trialStart	1	1	1	foodImage.101	FOODEEG_Images\0909.jpg	YN	Right	No	0.678438500035554	0	131244	251
257.3828125	2	decision	foodImageDisplay	1	1	1	foodImage.101	FOODEEG_Images\0909.jpg	YN	Right	No	0.678438500035554	0	131781	252
259.453125	0.678438500035554	decision	choicePhaseStart	1	1	1	foodImage.101	FOODEEG_Images\0909.jpg	YN	Right	No	0.678438500035554	0	132841	253
260.126953125	0	decision	response	1	1	1	foodImage.101	FOODEEG_Images\0909.jpg	YN	Right	No	0.678438500035554	0	133186	235
261.216796875	1	decision	trialStart	1	2	2	foodImage.67	FOODEEG_Images\0679.jpg	YN	Left	Yes	0.759085000026971	0	133744	251
262.2734375	2	decision	foodImageDisplay	1	2	2	foodImage.67	FOODEEG_Images\0679.jpg	YN	Left	Yes	0.759085000026971	0	134285	252
264.3359375	0.759085000026971	decision	choicePhaseStart	1	2	2	foodImage.67	FOODEEG_Images\0679.jpg	YN	Left	Yes	0.759085000026971	0	135341	253
265.087890625	0	decision	response	1	2	2	foodImage.67	FOODEEG_Images\0679.jpg	YN	Left	Yes	0.759085000026971	0	135726	234
266.138671875	1	health	trialStart	1	3	3	foodImage.66	FOODEEG_Images\0676.jpg	NY	Right	Yes	0.642048200126737	0	136264	251
267.181640625	2	health	foodImageDisplay	1	3	3	foodImage.66	FOODEEG_Images\0676.jpg	NY	Right	Yes	0.642048200126737	0	136798	252
269.244140625	0.642048200126737	health	choicePhaseStart	1	3	3	foodImage.66	FOODEEG_Images\0676.jpg	NY	Right	Yes	0.642048200126737	0	137854	253
269.87890625	0	health	response	1	3	3	foodImage.66	FOODEEG_Images\0676.jpg	NY	Right	Yes	0.642048200126737	0	138179	235
270.931640625	1	health	trialStart	1	4	4	foodImage.68	FOODEEG_Images\0685.jpg	NY	Left	No	0.847703699953854	0	138718	251
272.009765625	2	health	foodImageDisplay	1	4	4	foodImage.68	FOODEEG_Images\0685.jpg	NY	Left	No	0.847703699953854	0	139270	252
274.072265625	0.847703699953854	health	choicePhaseStart	1	4	4	foodImage.68	FOODEEG_Images\0685.jpg	NY	Left	No	0.847703699953854	0	140326	253
274.91015625	0	health	response	1	4	4	foodImage.68	FOODEEG_Images\0685.jpg	NY	Left	No	0.847703699953854	0	140755	234
275.955078125	1	health	trialStart	1	5	5	foodImage.64	FOODEEG_Images\0647.jpg	NY	Left	No	0.536305800080299	0	141290	251
277.013671875	2	health	foodImageDisplay	1	5	5	foodImage.64	FOODEEG_Images\0647.jpg	NY	Left	No	0.536305800080299	0	141832	252
279.080078125	0.536305800080299	health	choicePhaseStart	1	5	5	foodImage.64	FOODEEG_Images\0647.jpg	NY	Left	No	0.536305800080299	0	142890	253
279.607421875	0	health	response	1	5	5	foodImage.64	FOODEEG_Images\0647.jpg	NY	Left	No	0.536305800080299	0	143160	234
280.654296875	1	taste	trialStart	1	6	6	foodImage.115	FOODEEG_Images\0923.jpg	YN	Left	Yes	0.857113000005484	0	143696	251
281.693359375	2	taste	foodImageDisplay	1	6	6	foodImage.115	FOODEEG_Images\0923.jpg	YN	Left	Yes	0.857113000005484	0	144228	252
283.7578125	0.857113000005484	taste	choicePhaseStart	1	6	6	foodImage.115	FOODEEG_Images\0923.jpg	YN	Left	Yes	0.857113000005484	0	145285	253
284.60546875	0	taste	response	1	6	6	foodImage.115	FOODEEG_Images\0923.jpg	YN	Left	Yes	0.857113000005484	0	145719	234
