onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
312.888671875	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	160200	250
314.9296875	1	health	trialStart	1	1	1	foodImage.86	FOODEEG_Images\0844.jpg	NY	Left	No	1.90327370003797	0	161245	251
316	2	health	foodImageDisplay	1	1	1	foodImage.86	FOODEEG_Images\0844.jpg	NY	Left	No	1.90327370003797	0	161793	252
318.064453125	1.90327370003797	health	choicePhaseStart	1	1	1	foodImage.86	FOODEEG_Images\0844.jpg	NY	Left	No	1.90327370003797	0	162850	253
319.9609375	0	health	response	1	1	1	foodImage.86	FOODEEG_Images\0844.jpg	NY	Left	No	1.90327370003797	0	163821	234
321.078125	1	taste	trialStart	1	2	2	foodImage.55	FOODEEG_Images\0567.jpg	NY	Right	Yes	1.5586617999943	0	164393	251
322.138671875	2	taste	foodImageDisplay	1	2	2	foodImage.55	FOODEEG_Images\0567.jpg	NY	Right	Yes	1.5586617999943	0	164936	252
324.203125	1.5586617999943	taste	choicePhaseStart	1	2	2	foodImage.55	FOODEEG_Images\0567.jpg	NY	Right	Yes	1.5586617999943	0	165993	253
325.75390625	0	taste	response	1	2	2	foodImage.55	FOODEEG_Images\0567.jpg	NY	Right	Yes	1.5586617999943	0	166787	235
326.806640625	1	taste	trialStart	1	3	3	foodImage.68	FOODEEG_Images\0685.jpg	YN	Left	Yes	1.48992680001538	0	167326	251
327.88671875	2	taste	foodImageDisplay	1	3	3	foodImage.68	FOODEEG_Images\0685.jpg	YN	Left	Yes	1.48992680001538	0	167879	252
329.951171875	1.48992680001538	taste	choicePhaseStart	1	3	3	foodImage.68	FOODEEG_Images\0685.jpg	YN	Left	Yes	1.48992680001538	0	168936	253
331.431640625	0	taste	response	1	3	3	foodImage.68	FOODEEG_Images\0685.jpg	YN	Left	Yes	1.48992680001538	0	169694	234
332.4765625	1	decision	trialStart	1	4	4	foodImage.15	FOODEEG_Images\0189.jpg	NY	Right	Yes	1.01677240000572	0	170229	251
333.53515625	2	decision	foodImageDisplay	1	4	4	foodImage.15	FOODEEG_Images\0189.jpg	NY	Right	Yes	1.01677240000572	0	170771	252
335.599609375	1.01677240000572	decision	choicePhaseStart	1	4	4	foodImage.15	FOODEEG_Images\0189.jpg	NY	Right	Yes	1.01677240000572	0	171828	253
336.607421875	0	decision	response	1	4	4	foodImage.15	FOODEEG_Images\0189.jpg	NY	Right	Yes	1.01677240000572	0	172344	235
337.65234375	1	health	trialStart	1	5	5	foodImage.13	FOODEEG_Images\0183.jpg	NY	Right	Yes	1.73889819998294	0	172879	251
338.69921875	2	health	foodImageDisplay	1	5	5	foodImage.13	FOODEEG_Images\0183.jpg	NY	Right	Yes	1.73889819998294	0	173415	252
340.765625	1.73889819998294	health	choicePhaseStart	1	5	5	foodImage.13	FOODEEG_Images\0183.jpg	NY	Right	Yes	1.73889819998294	0	174473	253
342.49609375	0	health	response	1	5	5	foodImage.13	FOODEEG_Images\0183.jpg	NY	Right	Yes	1.73889819998294	0	175359	235
