blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
health	Go = healthy    No-go = not healthy	0	0	FOODGNG_Images/0923.jpg	healthy	90	Go	space	None	0	NaN
health	Go = healthy    No-go = not healthy	0	1	FOODGNG_Images/0607.jpg	not healthy	11	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	2	FOODGNG_Images/0647.jpg	healthy	89	Go	space	space	1	0.97739150000001
health	Go = healthy    No-go = not healthy	0	3	FOODGNG_Images/0881.jpg	healthy	89	Go	space	space	1	0.575887600000044
health	Go = healthy    No-go = not healthy	0	4	FOODGNG_Images/0196.jpg	healthy	88	Go	space	space	1	0.642472199999986
health	Go = healthy    No-go = not healthy	0	5	FOODGNG_Images/0529.jpg	healthy	92	Go	space	space	1	0.439371499999993
health	Go = healthy    No-go = not healthy	0	6	FOODGNG_Images/0329.jpg	healthy	96	Go	space	space	1	1.65663189999998
health	Go = healthy    No-go = not healthy	0	7	FOODGNG_Images/0923.jpg	healthy	90	Go	space	space	1	0.570265699999993
health	Go = healthy    No-go = not healthy	0	8	FOODGNG_Images/0647.jpg	healthy	89	Go	space	space	1	0.589402600000028
health	Go = healthy    No-go = not healthy	0	9	FOODGNG_Images/0881.jpg	healthy	89	Go	space	space	1	0.513030800000024
health	Go = healthy    No-go = not healthy	0	10	FOODGNG_Images/0529.jpg	healthy	92	Go	space	space	1	0.44731059999998
health	Go = healthy    No-go = not healthy	0	11	FOODGNG_Images/0250.jpg	healthy	92	Go	space	space	1	0.562001800000019
health	Go = healthy    No-go = not healthy	0	12	FOODGNG_Images/0881.jpg	healthy	89	Go	space	space	1	0.452604400000041
health	Go = healthy    No-go = not healthy	0	13	FOODGNG_Images/0359.jpg	healthy	91	Go	space	space	1	0.421489800000018
health	Go = healthy    No-go = not healthy	0	14	FOODGNG_Images/0787.jpg	healthy	92	Go	space	space	1	0.412540499999977
health	Go = healthy    No-go = not healthy	0	15	FOODGNG_Images/0539.jpg	healthy	97	Go	space	space	1	0.464250600000014
health	Go = healthy    No-go = not healthy	0	16	FOODGNG_Images/0196.jpg	healthy	88	Go	space	space	1	0.470726200000001
health	Go = healthy    No-go = not healthy	0	17	FOODGNG_Images/0329.jpg	healthy	96	Go	space	space	1	0.456721399999992
health	Go = healthy    No-go = not healthy	0	18	FOODGNG_Images/0262.jpg	healthy	91	Go	space	space	1	0.458886900000039
health	Go = healthy    No-go = not healthy	0	19	FOODGNG_Images/0282.jpg	healthy	89	Go	space	space	1	0.375440200000014
health	Go = healthy    No-go = not healthy	0	20	FOODGNG_Images/0329.jpg	healthy	96	Go	space	space	1	0.645018100000016
health	Go = healthy    No-go = not healthy	0	21	FOODGNG_Images/0536.jpg	not healthy	19	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	22	FOODGNG_Images/0529.jpg	healthy	92	Go	space	space	1	0.639417200000025
health	Go = healthy    No-go = not healthy	0	23	FOODGNG_Images/0250.jpg	healthy	92	Go	space	space	1	0.437202500000012
health	Go = healthy    No-go = not healthy	0	24	FOODGNG_Images/0676.jpg	not healthy	15	NoGo	None	space	0	0.827492699999993
health	Go = healthy    No-go = not healthy	0	25	FOODGNG_Images/0923.jpg	healthy	90	Go	space	space	1	0.743673700000045
health	Go = healthy    No-go = not healthy	0	26	FOODGNG_Images/0294.jpg	not healthy	6	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	27	FOODGNG_Images/0196.jpg	healthy	88	Go	space	space	1	0.584217100000046
health	Go = healthy    No-go = not healthy	0	28	FOODGNG_Images/0796.jpg	healthy	93	Go	space	space	1	0.547936599999957
health	Go = healthy    No-go = not healthy	0	29	FOODGNG_Images/0640.jpg	healthy	89	Go	space	space	1	0.540812599999981
health	Go = healthy    No-go = not healthy	0	30	FOODGNG_Images/0004.jpg	not healthy	10	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	31	FOODGNG_Images/0329.jpg	healthy	96	Go	space	space	1	0.880416500000024
