blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
health	Go = healthy    No-go = not healthy	0	0	FOODGNG_Images/0907.jpg	not healthy	5	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	1	FOODGNG_Images/0359.jpg	healthy	100	Go	space	space	1	0.683300799923018
health	Go = healthy    No-go = not healthy	0	2	FOODGNG_Images/0920.jpg	not healthy	7	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	3	FOODGNG_Images/0905.jpg	not healthy	5	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	4	FOODGNG_Images/0004.jpg	not healthy	6	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	5	FOODGNG_Images/0273.jpg	healthy	100	Go	space	space	1	0.847513400018215
health	Go = healthy    No-go = not healthy	0	6	FOODGNG_Images/0459.jpg	healthy	100	Go	space	space	1	0.762724000029266
health	Go = healthy    No-go = not healthy	0	7	FOODGNG_Images/0794.jpg	healthy	100	Go	space	space	1	0.631229400169104
health	Go = healthy    No-go = not healthy	0	8	FOODGNG_Images/0329.jpg	healthy	100	Go	space	space	1	0.627004799898714
health	Go = healthy    No-go = not healthy	0	9	FOODGNG_Images/0479.jpg	healthy	100	Go	space	space	1	0.719996800180525
health	Go = healthy    No-go = not healthy	0	10	FOODGNG_Images/0515.jpg	not healthy	3	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	11	FOODGNG_Images/0644.jpg	healthy	100	Go	space	space	1	0.798506000079215
health	Go = healthy    No-go = not healthy	0	12	FOODGNG_Images/0263.jpg	healthy	100	Go	space	space	1	0.699894699966535
health	Go = healthy    No-go = not healthy	0	13	FOODGNG_Images/0644.jpg	healthy	100	Go	space	space	1	0.783828100189567
health	Go = healthy    No-go = not healthy	0	14	FOODGNG_Images/0529.jpg	healthy	100	Go	space	space	1	0.77199580008164
health	Go = healthy    No-go = not healthy	0	15	FOODGNG_Images/0796.jpg	healthy	100	Go	space	space	1	0.671301799826324
health	Go = healthy    No-go = not healthy	0	16	FOODGNG_Images/0196.jpg	healthy	100	Go	space	space	1	0.775104900123551
health	Go = healthy    No-go = not healthy	0	17	FOODGNG_Images/0459.jpg	healthy	100	Go	space	space	1	0.63087569992058
health	Go = healthy    No-go = not healthy	0	18	FOODGNG_Images/0196.jpg	healthy	100	Go	space	space	1	0.701532599981874
health	Go = healthy    No-go = not healthy	0	19	FOODGNG_Images/0329.jpg	healthy	100	Go	space	space	1	0.624711200129241
health	Go = healthy    No-go = not healthy	0	20	FOODGNG_Images/0183.jpg	not healthy	7	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	21	FOODGNG_Images/0905.jpg	not healthy	5	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	22	FOODGNG_Images/0263.jpg	healthy	100	Go	space	space	1	0.692306200042367
health	Go = healthy    No-go = not healthy	0	23	FOODGNG_Images/0529.jpg	healthy	100	Go	space	space	1	0.690610999939963
health	Go = healthy    No-go = not healthy	0	24	FOODGNG_Images/0113.jpg	not healthy	5	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	25	FOODGNG_Images/0827.jpg	healthy	100	Go	space	space	1	0.847658300073817
health	Go = healthy    No-go = not healthy	0	26	FOODGNG_Images/0445.jpg	healthy	100	Go	space	space	1	0.720405800035223
health	Go = healthy    No-go = not healthy	0	27	FOODGNG_Images/0794.jpg	healthy	100	Go	space	space	1	0.795983699848875
health	Go = healthy    No-go = not healthy	0	28	FOODGNG_Images/0796.jpg	healthy	100	Go	space	space	1	0.817280400078744
health	Go = healthy    No-go = not healthy	0	29	FOODGNG_Images/0196.jpg	healthy	100	Go	space	space	1	0.695948499953374
health	Go = healthy    No-go = not healthy	0	30	FOODGNG_Images/0796.jpg	healthy	100	Go	space	space	1	0.696141499793157
health	Go = healthy    No-go = not healthy	0	31	FOODGNG_Images/0196.jpg	healthy	100	Go	space	space	1	0.651886499952525
health	Go = healthy    No-go = not healthy	0	32	FOODGNG_Images/0263.jpg	healthy	100	Go	space	space	1	0.733142599929124
health	Go = healthy    No-go = not healthy	0	33	FOODGNG_Images/0445.jpg	healthy	100	Go	space	space	1	0.639461499871686
health	Go = healthy    No-go = not healthy	0	34	FOODGNG_Images/0787.jpg	healthy	100	Go	space	space	1	0.702348600141704
health	Go = healthy    No-go = not healthy	0	35	FOODGNG_Images/0913.jpg	not healthy	7	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	36	FOODGNG_Images/0645.jpg	not healthy	7	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	37	FOODGNG_Images/0529.jpg	healthy	100	Go	space	space	1	0.745083800051361
health	Go = healthy    No-go = not healthy	0	38	FOODGNG_Images/0827.jpg	healthy	100	Go	space	space	1	0.756584099959582
health	Go = healthy    No-go = not healthy	0	39	FOODGNG_Images/0273.jpg	healthy	100	Go	space	space	1	0.913929699920118
health	Go = healthy    No-go = not healthy	0	40	FOODGNG_Images/0787.jpg	healthy	100	Go	space	space	1	0.612465600017458
health	Go = healthy    No-go = not healthy	0	41	FOODGNG_Images/0273.jpg	healthy	100	Go	space	space	1	0.50992519990541
health	Go = healthy    No-go = not healthy	0	42	FOODGNG_Images/0329.jpg	healthy	100	Go	space	space	1	0.696653899969533
health	Go = healthy    No-go = not healthy	0	43	FOODGNG_Images/0644.jpg	healthy	100	Go	space	space	1	0.722709299996495
health	Go = healthy    No-go = not healthy	0	44	FOODGNG_Images/0183.jpg	not healthy	7	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	45	FOODGNG_Images/0459.jpg	healthy	100	Go	space	space	1	0.646036299876869
health	Go = healthy    No-go = not healthy	0	46	FOODGNG_Images/0479.jpg	healthy	100	Go	space	space	1	0.619147300021723
health	Go = healthy    No-go = not healthy	0	47	FOODGNG_Images/0787.jpg	healthy	100	Go	space	space	1	0.628341800067574
health	Go = healthy    No-go = not healthy	0	48	FOODGNG_Images/0796.jpg	healthy	100	Go	space	space	1	0.804816799936816
health	Go = healthy    No-go = not healthy	0	49	FOODGNG_Images/0273.jpg	healthy	100	Go	space	space	1	0.738073900109157
health	Go = healthy    No-go = not healthy	0	50	FOODGNG_Images/0263.jpg	healthy	100	Go	space	space	1	0.875880900071934
health	Go = healthy    No-go = not healthy	0	51	FOODGNG_Images/0479.jpg	healthy	100	Go	space	space	1	0.699862299952656
health	Go = healthy    No-go = not healthy	0	52	FOODGNG_Images/0113.jpg	not healthy	5	NoGo	None	None	1	NaN
health	Go = healthy    No-go = not healthy	0	53	FOODGNG_Images/0827.jpg	healthy	100	Go	space	space	1	0.621493399841711
health	Go = healthy    No-go = not healthy	0	54	FOODGNG_Images/0890.jpg	healthy	100	Go	space	space	1	1.31159300007857
health	Go = healthy    No-go = not healthy	0	55	FOODGNG_Images/0196.jpg	healthy	100	Go	space	space	1	0.698674399871379
