onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
331.0625	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	169505	250
333.099609375	1	decision	trialStart	1	1	1	foodImage.37	FOODEEG_Images\0359.jpg	YN	Right	No	0.873088499996811	0	170548	251
334.1484375	2	decision	foodImageDisplay	1	1	1	foodImage.37	FOODEEG_Images\0359.jpg	YN	Right	No	0.873088499996811	0	171085	252
336.21484375	0.873088499996811	decision	choicePhaseStart	1	1	1	foodImage.37	FOODEEG_Images\0359.jpg	YN	Right	No	0.873088499996811	0	172143	253
337.080078125	0	decision	response	1	1	1	foodImage.37	FOODEEG_Images\0359.jpg	YN	Right	No	0.873088499996811	0	172586	235
338.193359375	1	decision	trialStart	1	2	2	foodImage.89	FOODEEG_Images\0881.jpg	YN	Left	Yes	1.39806330017745	0	173156	251
339.251953125	2	decision	foodImageDisplay	1	2	2	foodImage.89	FOODEEG_Images\0881.jpg	YN	Left	Yes	1.39806330017745	0	173698	252
341.314453125	1.39806330017745	decision	choicePhaseStart	1	2	2	foodImage.89	FOODEEG_Images\0881.jpg	YN	Left	Yes	1.39806330017745	0	174754	253
342.703125	0	decision	response	1	2	2	foodImage.89	FOODEEG_Images\0881.jpg	YN	Left	Yes	1.39806330017745	0	175465	234
343.755859375	1	health	trialStart	1	3	3	foodImage.58	FOODEEG_Images\0605.jpg	YN	Right	No	0.967964499955997	0	176004	251
344.81640625	2	health	foodImageDisplay	1	3	3	foodImage.58	FOODEEG_Images\0605.jpg	YN	Right	No	0.967964499955997	0	176547	252
346.87890625	0.967964499955997	health	choicePhaseStart	1	3	3	foodImage.58	FOODEEG_Images\0605.jpg	YN	Right	No	0.967964499955997	0	177603	253
347.83984375	0	health	response	1	3	3	foodImage.58	FOODEEG_Images\0605.jpg	YN	Right	No	0.967964499955997	0	178095	235
348.8828125	1	taste	trialStart	1	4	4	foodImage.8	FOODEEG_Images\0136.jpg	NY	Left	No	0.720040200045332	0	178629	251
349.92578125	2	taste	foodImageDisplay	1	4	4	foodImage.8	FOODEEG_Images\0136.jpg	NY	Left	No	0.720040200045332	0	179163	252
351.9921875	0.720040200045332	taste	choicePhaseStart	1	4	4	foodImage.8	FOODEEG_Images\0136.jpg	NY	Left	No	0.720040200045332	0	180221	253
352.703125	0	taste	response	1	4	4	foodImage.8	FOODEEG_Images\0136.jpg	NY	Left	No	0.720040200045332	0	180585	234
353.748046875	1	health	trialStart	1	5	5	foodImage.83	FOODEEG_Images\0827.jpg	YN	Left	Yes	0.677946500014514	0	181120	251
354.80859375	2	health	foodImageDisplay	1	5	5	foodImage.83	FOODEEG_Images\0827.jpg	YN	Left	Yes	0.677946500014514	0	181663	252
356.87890625	0.677946500014514	health	choicePhaseStart	1	5	5	foodImage.83	FOODEEG_Images\0827.jpg	YN	Left	Yes	0.677946500014514	0	182723	253
357.55078125	0	health	response	1	5	5	foodImage.83	FOODEEG_Images\0827.jpg	YN	Left	Yes	0.677946500014514	0	183067	234
358.6015625	1	health	trialStart	1	6	6	foodImage.100	FOODEEG_Images\0908.jpg	NY	Right	Yes	1.46692239982076	0	183605	251
359.642578125	2	health	foodImageDisplay	1	6	6	foodImage.100	FOODEEG_Images\0908.jpg	NY	Right	Yes	1.46692239982076	0	184138	252
361.708984375	1.46692239982076	health	choicePhaseStart	1	6	6	foodImage.100	FOODEEG_Images\0908.jpg	NY	Right	Yes	1.46692239982076	0	185196	253
363.166015625	0	health	response	1	6	6	foodImage.100	FOODEEG_Images\0908.jpg	NY	Right	Yes	1.46692239982076	0	185942	235
364.20703125	1	decision	trialStart	1	7	7	foodImage.63	FOODEEG_Images\0645.jpg	NY	Right	Yes	0.926227899966761	0	186475	251
365.248046875	2	decision	foodImageDisplay	1	7	7	foodImage.63	FOODEEG_Images\0645.jpg	NY	Right	Yes	0.926227899966761	0	187008	252
367.3125	0.926227899966761	decision	choicePhaseStart	1	7	7	foodImage.63	FOODEEG_Images\0645.jpg	NY	Right	Yes	0.926227899966761	0	188065	253
368.23046875	0	decision	response	1	7	7	foodImage.63	FOODEEG_Images\0645.jpg	NY	Right	Yes	0.926227899966761	0	188535	235
369.2734375	1	health	trialStart	1	8	8	foodImage.3	FOODEEG_Images\0046.jpg	NY	Left	No	0.691296399803832	0	189069	251
370.314453125	2	health	foodImageDisplay	1	8	8	foodImage.3	FOODEEG_Images\0046.jpg	NY	Left	No	0.691296399803832	0	189602	252
372.37890625	0.691296399803832	health	choicePhaseStart	1	8	8	foodImage.3	FOODEEG_Images\0046.jpg	NY	Left	No	0.691296399803832	0	190659	253
373.0625	0	health	response	1	8	8	foodImage.3	FOODEEG_Images\0046.jpg	NY	Left	No	0.691296399803832	0	191009	234
374.10546875	1	decision	trialStart	1	9	9	foodImage.113	FOODEEG_Images\0921.jpg	YN	Left	Yes	0.692083399975672	0	191543	251
