blockNo	trialNoPerBlock	stim1_path	stim1_healthRating	stim1_tasteRating	stim1_willingToEatRating	stim2_path	stim2_healthRating	stim2_tasteRating	stim2_willingToEatRating	stimChosen_path	respKey	respRT
0	0	FOODPCT_Images/0805.jpg	93	70	61	FOODPCT_Images/0319.jpg	53	88	95	FOODPCT_Images/0319.jpg	m	1.07437319999735
0	1	FOODPCT_Images/0658.jpg	27	27	14	FOODPCT_Images/0225.jpg	26	37	29	FOODPCT_Images/0225.jpg	m	5.25268550000328
0	2	FOODPCT_Images/0914.jpg	30	42	3	FOODPCT_Images/0536.jpg	15	73	74	FOODPCT_Images/0914.jpg	z	4.38588329999766
0	3	FOODPCT_Images/0881.jpg	100	96	96	FOODPCT_Images/0225.jpg	26	37	29	FOODPCT_Images/0225.jpg	m	1.2099154000025
0	4	FOODPCT_Images/0294.jpg	37	87	87	FOODPCT_Images/0587.jpg	19	91	89	FOODPCT_Images/0587.jpg	m	1.40686160000041
0	5	FOODPCT_Images/0752.jpg	100	98	98	FOODPCT_Images/0494.jpg	21	83	82	FOODPCT_Images/0752.jpg	z	2.16643009999825
0	6	FOODPCT_Images/0350.jpg	28	100	100	FOODPCT_Images/0587.jpg	19	91	89	FOODPCT_Images/0587.jpg	m	2.6692849000101
0	7	FOODPCT_Images/0188.jpg	25	98	100	FOODPCT_Images/0352.jpg	58	78	88	FOODPCT_Images/0188.jpg	z	1.17501200000697
0	8	FOODPCT_Images/0587.jpg	19	91	89	FOODPCT_Images/0236.jpg	62	93	100	FOODPCT_Images/0587.jpg	z	0.828473400004441
0	9	FOODPCT_Images/0350.jpg	28	100	100	FOODPCT_Images/0234.jpg	100	97	91	FOODPCT_Images/0234.jpg	m	0.778642200006288
0	10	FOODPCT_Images/0805.jpg	93	70	61	FOODPCT_Images/0294.jpg	37	87	87	FOODPCT_Images/0294.jpg	m	2.00788090001151
0	11	FOODPCT_Images/0587.jpg	19	91	89	FOODPCT_Images/0479.jpg	100	100	94	FOODPCT_Images/0587.jpg	z	1.62411150000116
0	12	FOODPCT_Images/0713.jpg	8	93	91	FOODPCT_Images/0805.jpg	93	70	61	FOODPCT_Images/0805.jpg	m	2.05719369999133
0	13	FOODPCT_Images/0547.jpg	10	93	98	FOODPCT_Images/0658.jpg	27	27	14	FOODPCT_Images/0547.jpg	z	3.6456879000034
0	14	FOODPCT_Images/0830.jpg	100	97	99	FOODPCT_Images/0479.jpg	100	100	94	FOODPCT_Images/0479.jpg	m	1.43516949999321
0	15	FOODPCT_Images/0479.jpg	100	100	94	FOODPCT_Images/0350.jpg	28	100	100	FOODPCT_Images/0350.jpg	m	0.684997400006978
0	16	FOODPCT_Images/0752.jpg	100	98	98	FOODPCT_Images/0261.jpg	78	15	1	FOODPCT_Images/0752.jpg	z	1.71970500001044
0	17	FOODPCT_Images/0830.jpg	100	97	99	FOODPCT_Images/0352.jpg	58	78	88	FOODPCT_Images/0830.jpg	z	1.59377259999746
