onset	duration	trial_type	event_type	block	trial_total	trial_in_block	food_image_code	food_image_path	button_position	resp_position	resp_choice	choice_rt	resp_too_slow	sample	trigger
303.953125	2	n/a	blockStart	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	155625	250
305.9921875	1	decision	trialStart	1	1	1	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	1.75871009984985	0	156669	251
307.087890625	2	decision	foodImageDisplay	1	1	1	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	1.75871009984985	0	157230	252
309.154296875	1.75871009984985	decision	choicePhaseStart	1	1	1	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	1.75871009984985	0	158288	253
310.904296875	0	decision	response	1	1	1	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	1.75871009984985	0	159184	234
312.017578125	1	decision	trialStart	1	2	2	foodImage.3	FOODEEG_Images\0046.jpg	NY	Right	Yes	1.33177170017734	0	159754	251
313.060546875	2	decision	foodImageDisplay	1	2	2	foodImage.3	FOODEEG_Images\0046.jpg	NY	Right	Yes	1.33177170017734	0	160288	252
315.125	1.33177170017734	decision	choicePhaseStart	1	2	2	foodImage.3	FOODEEG_Images\0046.jpg	NY	Right	Yes	1.33177170017734	0	161345	253
316.447265625	0	decision	response	1	2	2	foodImage.3	FOODEEG_Images\0046.jpg	NY	Right	Yes	1.33177170017734	0	162022	235
317.5	1	health	trialStart	1	3	3	foodImage.8	FOODEEG_Images\0136.jpg	YN	Right	No	1.19442639965564	0	162561	251
318.54296875	2	health	foodImageDisplay	1	3	3	foodImage.8	FOODEEG_Images\0136.jpg	YN	Right	No	1.19442639965564	0	163095	252
320.60546875	1.19442639965564	health	choicePhaseStart	1	3	3	foodImage.8	FOODEEG_Images\0136.jpg	YN	Right	No	1.19442639965564	0	164151	253
321.791015625	0	health	response	1	3	3	foodImage.8	FOODEEG_Images\0136.jpg	YN	Right	No	1.19442639965564	0	164758	235
322.833984375	1	decision	trialStart	1	4	4	foodImage.64	FOODEEG_Images\0647.jpg	YN	Left	Yes	1.60549029987305	0	165292	251
323.890625	2	decision	foodImageDisplay	1	4	4	foodImage.64	FOODEEG_Images\0647.jpg	YN	Left	Yes	1.60549029987305	0	165833	252
325.953125	1.60549029987305	decision	choicePhaseStart	1	4	4	foodImage.64	FOODEEG_Images\0647.jpg	YN	Left	Yes	1.60549029987305	0	166889	253
327.55078125	0	decision	response	1	4	4	foodImage.64	FOODEEG_Images\0647.jpg	YN	Left	Yes	1.60549029987305	0	167707	234
328.595703125	1	decision	trialStart	1	5	5	foodImage.115	FOODEEG_Images\0923.jpg	NY	Left	No	1.0146166998893	0	168242	251
329.640625	2	decision	foodImageDisplay	1	5	5	foodImage.115	FOODEEG_Images\0923.jpg	NY	Left	No	1.0146166998893	0	168777	252
331.705078125	1.0146166998893	decision	choicePhaseStart	1	5	5	foodImage.115	FOODEEG_Images\0923.jpg	NY	Left	No	1.0146166998893	0	169834	253
332.7109375	0	decision	response	1	5	5	foodImage.115	FOODEEG_Images\0923.jpg	NY	Left	No	1.0146166998893	0	170349	234
333.76171875	1	health	trialStart	1	6	6	foodImage.106	FOODEEG_Images\0914.jpg	YN	Right	No	1.59568609995767	0	170887	251
334.8046875	2	health	foodImageDisplay	1	6	6	foodImage.106	FOODEEG_Images\0914.jpg	YN	Right	No	1.59568609995767	0	171421	252
336.8671875	1.59568609995767	health	choicePhaseStart	1	6	6	foodImage.106	FOODEEG_Images\0914.jpg	YN	Right	No	1.59568609995767	0	172477	253
338.455078125	0	health	response	1	6	6	foodImage.106	FOODEEG_Images\0914.jpg	YN	Right	No	1.59568609995767	0	173290	235
339.498046875	1	taste	trialStart	1	7	7	foodImage.34	FOODEEG_Images\0339.jpg	YN	Right	No	1.52148969983682	0	173824	251
340.556640625	2	taste	foodImageDisplay	1	7	7	foodImage.34	FOODEEG_Images\0339.jpg	YN	Right	No	1.52148969983682	0	174366	252
342.619140625	1.52148969983682	taste	choicePhaseStart	1	7	7	foodImage.34	FOODEEG_Images\0339.jpg	YN	Right	No	1.52148969983682	0	175422	253
344.134765625	0	taste	response	1	7	7	foodImage.34	FOODEEG_Images\0339.jpg	YN	Right	No	1.52148969983682	0	176198	235
345.181640625	1	taste	trialStart	1	8	8	foodImage.33	FOODEEG_Images\0329.jpg	YN	Left	Yes	1.10476389992982	0	176734	251
346.22265625	2	taste	foodImageDisplay	1	8	8	foodImage.33	FOODEEG_Images\0329.jpg	YN	Left	Yes	1.10476389992982	0	177267	252
348.28515625	1.10476389992982	taste	choicePhaseStart	1	8	8	foodImage.33	FOODEEG_Images\0329.jpg	YN	Left	Yes	1.10476389992982	0	178323	253
349.3828125	0	taste	response	1	8	8	foodImage.33	FOODEEG_Images\0329.jpg	YN	Left	Yes	1.10476389992982	0	178885	234
350.421875	1	taste	trialStart	1	9	9	foodImage.24	FOODEEG_Images\0250.jpg	YN	Left	Yes	1.16797749977559	0	179417	251
351.462890625	2	taste	foodImageDisplay	1	9	9	foodImage.24	FOODEEG_Images\0250.jpg	YN	Left	Yes	1.16797749977559	0	179950	252
353.52734375	1.16797749977559	taste	choicePhaseStart	1	9	9	foodImage.24	FOODEEG_Images\0250.jpg	YN	Left	Yes	1.16797749977559	0	181007	253
354.6875	0	taste	response	1	9	9	foodImage.24	FOODEEG_Images\0250.jpg	YN	Left	Yes	1.16797749977559	0	181601	234
355.73046875	1	health	trialStart	1	10	10	foodImage.12	FOODEEG_Images\0181.jpg	YN	Right	No	1.53170179994777	0	182135	251
356.7734375	2	health	foodImageDisplay	1	10	10	foodImage.12	FOODEEG_Images\0181.jpg	YN	Right	No	1.53170179994777	0	182669	252
358.8359375	1.53170179994777	health	choicePhaseStart	1	10	10	foodImage.12	FOODEEG_Images\0181.jpg	YN	Right	No	1.53170179994777	0	183725	253
360.359375	0	health	response	1	10	10	foodImage.12	FOODEEG_Images\0181.jpg	YN	Right	No	1.53170179994777	0	184505	235
361.40234375	1	taste	trialStart	1	11	11	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	0.863566199783236	0	185039	251
362.45703125	2	taste	foodImageDisplay	1	11	11	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	0.863566199783236	0	185579	252
364.51953125	0.863566199783236	taste	choicePhaseStart	1	11	11	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	0.863566199783236	0	186635	253
365.373046875	0	taste	response	1	11	11	foodImage.54	FOODEEG_Images\0560.jpg	YN	Left	Yes	0.863566199783236	0	187072	234
366.416015625	1	health	trialStart	1	12	12	foodImage.109	FOODEEG_Images\0917.jpg	YN	Left	Yes	0.61805950012058	0	187606	251
367.453125	2	health	foodImageDisplay	1	12	12	foodImage.109	FOODEEG_Images\0917.jpg	YN	Left	Yes	0.61805950012058	0	188137	252
369.515625	0.61805950012058	health	choicePhaseStart	1	12	12	foodImage.109	FOODEEG_Images\0917.jpg	YN	Left	Yes	0.61805950012058	0	189193	253
370.125	0	health	response	1	12	12	foodImage.109	FOODEEG_Images\0917.jpg	YN	Left	Yes	0.61805950012058	0	189505	234
371.166015625	1	taste	trialStart	1	13	13	foodImage.32	FOODEEG_Images\0319.jpg	YN	Left	Yes	0.925597900059074	0	190038	251
372.208984375	2	taste	foodImageDisplay	1	13	13	foodImage.32	FOODEEG_Images\0319.jpg	YN	Left	Yes	0.925597900059074	0	190572	252
374.271484375	0.925597900059074	taste	choicePhaseStart	1	13	13	foodImage.32	FOODEEG_Images\0319.jpg	YN	Left	Yes	0.925597900059074	0	191628	253
375.189453125	0	taste	response	1	13	13	foodImage.32	FOODEEG_Images\0319.jpg	YN	Left	Yes	0.925597900059074	0	192098	234
376.228515625	1	decision	trialStart	1	14	14	foodImage.56	FOODEEG_Images\0586.jpg	NY	Left	No	1.32693349989131	0	192630	251
377.26953125	2	decision	foodImageDisplay	1	14	14	foodImage.56	FOODEEG_Images\0586.jpg	NY	Left	No	1.32693349989131	0	193163	252
379.333984375	1.32693349989131	decision	choicePhaseStart	1	14	14	foodImage.56	FOODEEG_Images\0586.jpg	NY	Left	No	1.32693349989131	0	194220	253
380.65234375	0	decision	response	1	14	14	foodImage.56	FOODEEG_Images\0586.jpg	NY	Left	No	1.32693349989131	0	194895	234
381.693359375	1	health	trialStart	1	15	15	foodImage.117	FOODEEG_Images\0925.jpg	NY	Left	No	1.72965799970552	0	195428	251
382.732421875	2	health	foodImageDisplay	1	15	15	foodImage.117	FOODEEG_Images\0925.jpg	NY	Left	No	1.72965799970552	0	195960	252
384.794921875	1.72965799970552	health	choicePhaseStart	1	15	15	foodImage.117	FOODEEG_Images\0925.jpg	NY	Left	No	1.72965799970552	0	197016	253
386.517578125	0	health	response	1	15	15	foodImage.117	FOODEEG_Images\0925.jpg	NY	Left	No	1.72965799970552	0	197898	234
387.55859375	1	taste	trialStart	1	16	16	foodImage.102	FOODEEG_Images\0910.jpg	YN	Right	No	1.08641939982772	0	198431	251
