blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
tasteRev	Go = not tasty    No-go = tasty	0	0	FOODGNG_Images/0900.jpg	not tasty	0	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	1	FOODGNG_Images/0234.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	2	FOODGNG_Images/0909.jpg	not tasty	0	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	3	FOODGNG_Images/0927.jpg	not tasty	0	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	4	FOODGNG_Images/0830.jpg	tasty	100	NoGo	None	space	0	0.564902199897915
tasteRev	Go = not tasty    No-go = tasty	0	5	FOODGNG_Images/0794.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	6	FOODGNG_Images/0911.jpg	not tasty	0	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	7	FOODGNG_Images/0906.jpg	not tasty	0	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	8	FOODGNG_Images/0907.jpg	not tasty	0	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	9	FOODGNG_Images/0923.jpg	not tasty	0	Go	space	None	0	NaN
tasteRev	Go = not tasty    No-go = tasty	0	10	FOODGNG_Images/0907.jpg	not tasty	0	Go	space	space	1	0.871839199913666
tasteRev	Go = not tasty    No-go = tasty	0	11	FOODGNG_Images/0225.jpg	not tasty	0	Go	space	space	1	0.723284599836916
tasteRev	Go = not tasty    No-go = tasty	0	12	FOODGNG_Images/0234.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	13	FOODGNG_Images/0910.jpg	not tasty	0	Go	space	space	1	0.659462899900973
tasteRev	Go = not tasty    No-go = tasty	0	14	FOODGNG_Images/0920.jpg	not tasty	0	Go	space	space	1	0.644758600043133
tasteRev	Go = not tasty    No-go = tasty	0	15	FOODGNG_Images/0910.jpg	not tasty	0	Go	space	space	1	0.642452799715102
tasteRev	Go = not tasty    No-go = tasty	0	16	FOODGNG_Images/0365.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	17	FOODGNG_Images/0906.jpg	not tasty	0	Go	space	space	1	0.468987399945036
tasteRev	Go = not tasty    No-go = tasty	0	18	FOODGNG_Images/0927.jpg	not tasty	0	Go	space	space	1	0.58137259981595
tasteRev	Go = not tasty    No-go = tasty	0	19	FOODGNG_Images/0909.jpg	not tasty	0	Go	space	space	1	0.503354899818078
tasteRev	Go = not tasty    No-go = tasty	0	20	FOODGNG_Images/0046.jpg	tasty	90	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	21	FOODGNG_Images/0225.jpg	not tasty	0	Go	space	space	1	0.555721099721268
tasteRev	Go = not tasty    No-go = tasty	0	22	FOODGNG_Images/0113.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	23	FOODGNG_Images/0225.jpg	not tasty	0	Go	space	space	1	0.514072800055146
tasteRev	Go = not tasty    No-go = tasty	0	24	FOODGNG_Images/0901.jpg	not tasty	0	Go	space	space	1	0.56649799994193
tasteRev	Go = not tasty    No-go = tasty	0	25	FOODGNG_Images/0560.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	26	FOODGNG_Images/0923.jpg	not tasty	0	Go	space	space	1	0.575985899893567
tasteRev	Go = not tasty    No-go = tasty	0	27	FOODGNG_Images/0199.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	28	FOODGNG_Images/0918.jpg	not tasty	0	Go	space	space	1	0.494629299733788
tasteRev	Go = not tasty    No-go = tasty	0	29	FOODGNG_Images/0796.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	30	FOODGNG_Images/0911.jpg	not tasty	0	Go	space	space	1	1.07887810003012
tasteRev	Go = not tasty    No-go = tasty	0	31	FOODGNG_Images/0605.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	32	FOODGNG_Images/0907.jpg	not tasty	0	Go	space	space	1	0.501368300057948
tasteRev	Go = not tasty    No-go = tasty	0	33	FOODGNG_Images/0928.jpg	not tasty	0	Go	space	space	1	0.582534000044689
tasteRev	Go = not tasty    No-go = tasty	0	34	FOODGNG_Images/0901.jpg	not tasty	0	Go	space	space	1	0.513387199724093
tasteRev	Go = not tasty    No-go = tasty	0	35	FOODGNG_Images/0478.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	36	FOODGNG_Images/0920.jpg	not tasty	0	Go	space	space	1	0.371270899893716
tasteRev	Go = not tasty    No-go = tasty	0	37	FOODGNG_Images/0794.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	38	FOODGNG_Images/0904.jpg	not tasty	0	Go	space	space	1	0.390115600079298
tasteRev	Go = not tasty    No-go = tasty	0	39	FOODGNG_Images/0881.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	40	FOODGNG_Images/0900.jpg	not tasty	0	Go	space	space	1	0.481092300033197
tasteRev	Go = not tasty    No-go = tasty	0	41	FOODGNG_Images/0911.jpg	not tasty	0	Go	space	space	1	0.602706899866462
tasteRev	Go = not tasty    No-go = tasty	0	42	FOODGNG_Images/0901.jpg	not tasty	0	Go	space	space	1	0.887070799944922
tasteRev	Go = not tasty    No-go = tasty	0	43	FOODGNG_Images/0365.jpg	tasty	100	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	44	FOODGNG_Images/0923.jpg	not tasty	0	Go	space	space	1	0.444749499903992
tasteRev	Go = not tasty    No-go = tasty	0	45	FOODGNG_Images/0904.jpg	not tasty	0	Go	space	space	1	0.491241799900308
tasteRev	Go = not tasty    No-go = tasty	0	46	FOODGNG_Images/0928.jpg	not tasty	0	Go	space	space	1	0.409097299911082
tasteRev	Go = not tasty    No-go = tasty	0	47	FOODGNG_Images/0927.jpg	not tasty	0	Go	space	space	1	0.431662799790502
tasteRev	Go = not tasty    No-go = tasty	0	48	FOODGNG_Images/0909.jpg	not tasty	0	Go	space	space	1	0.404526700032875
tasteRev	Go = not tasty    No-go = tasty	0	49	FOODGNG_Images/0920.jpg	not tasty	0	Go	space	space	1	0.417305799899623
tasteRev	Go = not tasty    No-go = tasty	0	50	FOODGNG_Images/0904.jpg	not tasty	0	Go	space	space	1	0.415410899790004
tasteRev	Go = not tasty    No-go = tasty	0	51	FOODGNG_Images/0920.jpg	not tasty	0	Go	space	space	1	0.409700999734923
tasteRev	Go = not tasty    No-go = tasty	0	52	FOODGNG_Images/0910.jpg	not tasty	0	Go	space	space	1	0.384702799841762
