blockType	blockInstructions	blockNo	trialNoPerBlock	stimPath	stimType	stimRating	stimStatus	respCorrect	respKey	respOutcome	respRT
tasteRev	Go = not tasty    No-go = tasty	0	0	FOODGNG_Images/0909.jpg	not tasty	17	Go	space	space	1	0.96938639995642
tasteRev	Go = not tasty    No-go = tasty	0	1	FOODGNG_Images/0560.jpg	tasty	86	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	2	FOODGNG_Images/0902.jpg	not tasty	15	Go	space	space	1	0.770247000036761
tasteRev	Go = not tasty    No-go = tasty	0	3	FOODGNG_Images/0909.jpg	not tasty	17	Go	space	space	1	0.565298200119287
tasteRev	Go = not tasty    No-go = tasty	0	4	FOODGNG_Images/0614.jpg	tasty	80	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	5	FOODGNG_Images/0587.jpg	tasty	85	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	6	FOODGNG_Images/0927.jpg	not tasty	13	Go	space	space	1	0.531639399938285
tasteRev	Go = not tasty    No-go = tasty	0	7	FOODGNG_Images/0901.jpg	not tasty	12	Go	space	space	1	0.541709800017998
tasteRev	Go = not tasty    No-go = tasty	0	8	FOODGNG_Images/0907.jpg	not tasty	12	Go	space	space	1	0.487261499976739
tasteRev	Go = not tasty    No-go = tasty	0	9	FOODGNG_Images/0902.jpg	not tasty	15	Go	space	space	1	1.70463420008309
tasteRev	Go = not tasty    No-go = tasty	0	10	FOODGNG_Images/0920.jpg	not tasty	4	Go	space	space	1	1.29337099986151
tasteRev	Go = not tasty    No-go = tasty	0	11	FOODGNG_Images/0918.jpg	not tasty	10	Go	space	space	1	0.729199199937284
tasteRev	Go = not tasty    No-go = tasty	0	12	FOODGNG_Images/0927.jpg	not tasty	13	Go	space	space	1	0.776814100099728
tasteRev	Go = not tasty    No-go = tasty	0	13	FOODGNG_Images/0586.jpg	tasty	77	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	14	FOODGNG_Images/0926.jpg	not tasty	14	Go	space	space	1	0.491442300146446
tasteRev	Go = not tasty    No-go = tasty	0	15	FOODGNG_Images/0319.jpg	tasty	97	NoGo	None	None	1	NaN
tasteRev	Go = not tasty    No-go = tasty	0	16	FOODGNG_Images/0903.jpg	not tasty	12	Go	space	space	1	0.55932809994556
tasteRev	Go = not tasty    No-go = tasty	0	17	FOODGNG_Images/0907.jpg	not tasty	12	Go	space	space	1	0.506659399950877
tasteRev	Go = not tasty    No-go = tasty	0	18	FOODGNG_Images/0913.jpg	not tasty	8	Go	space	space	1	0.597545499913394
tasteRev	Go = not tasty    No-go = tasty	0	19	FOODGNG_Images/0900.jpg	not tasty	13	Go	space	space	1	0.520846500061452
tasteRev	Go = not tasty    No-go = tasty	0	20	FOODGNG_Images/0920.jpg	not tasty	4	Go	space	space	1	0.484471699921414
tasteRev	Go = not tasty    No-go = tasty	0	21	FOODGNG_Images/0901.jpg	not tasty	12	Go	space	space	1	0.53380040009506
tasteRev	Go = not tasty    No-go = tasty	0	22	FOODGNG_Images/0902.jpg	not tasty	15	Go	space	space	1	0.567149700131267
